category,rate,name,address,url,price_range
Women's Clothing,3.0 star rating,ninas plus,,,$$$
Art Galleries,4.5 star rating,bag gallery,,,$$$
Tours,3.5 star rating,doug fox travel,,,
Chiropractors,5.0 star rating,coastal chiropractic,,,
"Outlet Stores,Shopping Centers",3.5 star rating,bcbg maz azria,,,$$
Jewelry,5.0 star rating,royal jewelers,,,$$
,,cybra,,,
"Art Galleries,Comic Books,Hobby Shops",3.5 star rating,d gallery,,,$$
Men's Clothing,4.0 star rating,leon sportswear,,,$$$
"Jewelry,Watches",4.5 star rating,colorado gold market,,,$$$
Candy Stores,4.5 star rating,the juice emporium,,,$
"Hair Salons,Hair Removal",4.0 star rating,mfasis,,,$$
Yoga,4.0 star rating,bikram yoga,,,
Travel Services,1.0 star rating,american express travel,,,
"American (New),Gastropubs,Comfort Food",4.0 star rating,texas branding iron,,,$$
Shoe Stores,4.5 star rating,wild pair ,,,$$$
Videos & Video Game Rental,3.5 star rating,software etc gamestop,,,$$
Chocolatiers & Shops,4.0 star rating,see’s candies,,,$$
"Tapas/Small Plates,American (New)",4.5 star rating,bcs kitchen,,,$$$
Chinese,4.0 star rating,china king buffet,,,$$
"Dance Schools,Dance Studios",3.0 star rating,next step dance studio,,,
Nail Salons,3.0 star rating,vogue nail care,,,$$
Shopping Centers,1.5 star rating,b-toy zone,,,$$
"Filipino,Fast Food",3.0 star rating,j-bees,,,$
"Hair Salons,Waxing,Skin Care",5.0 star rating,the salon,,,$$$
"Bowling,Bars,American (New)",3.0 star rating,lucky lady,,,$$
Mexican,4.5 star rating,serranos mexican grill,,,$$
"Women's Clothing,Accessories,Cosmetics & Beauty Supply",4.0 star rating,caroll paris,,,$$$$
Public Services & Government,2.5 star rating,richmond police department,,,
,,leon western wear,,,
Department Stores,4.0 star rating,solo wear,,,$$$
"Skin Care,Medical Spas",4.5 star rating,sage aesthetics,,,$$
"Real Estate Agents,Real Estate Services",5.0 star rating,trend setter flooring,,,
Barbeque,4.0 star rating,fs ohio blue line,,,$$
Mexican,4.0 star rating,mero ,,,$
"Sushi Bars,Japanese",4.0 star rating,mango madness skin care,,,$$
Women's Clothing,3.0 star rating,in-style fashions,,,$$
"Music Venues,Bars,American (Traditional)",3.5 star rating,black bear saloon,,,$$
"Japanese,Sushi Bars",4.0 star rating,fancy q,,,$$$
"Home Decor,Furniture Stores",3.0 star rating,mercury design studio,,,$$
Wineries,4.0 star rating,adobe road,,,$$
American (New),4.5 star rating,bent fork the grill,,,$$$$
Department Stores,4.0 star rating,nordstrom fine jewelry,,,$$$
"Sports Bars,Mexican",4.0 star rating,habanero baja grill,,,$
Ice Cream & Frozen Yogurt,3.5 star rating,avalanche,,,$
"Arts & Crafts,Knitting Supplies",4.5 star rating,80 stitches,,,$$
"Desserts,Food Stands,Street Vendors",4.5 star rating,nw dollar +,,,$
,3.0 star rating,pacific sunwear of california,,,
