mallid,mall,name,usps,geoid,INTPTLAT,INTPTLONG,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,Homeowner_vacancy_rate_percent,Median_Age_Female,Median_Age_Male,Median_Age,Percent_65_years_and_over,Percent_American_Indian_and_Alaska_Native,Percent_Asian,Percent_Black_or_African_American,Percent_Family_households,Percent_Female,Percent_Male,Percent_Nonfamily_households,Percent_Occupied_housing_units,Percent_Some_Other_Race,Percent_White,Rental_vacancy_rate_percent
822,Arbor Place,Douglas County,georgia,13097,33.699317,-84.765944,132403,51672,518170971,2484238,200.067,0.959,4.3,36,33.8,35,8.5,0.3,1.4,39.5,73.8,51.8,48.2,26.2,90.2,3.8,52.5,10.7,"cookies:1,shoes:1,children's footwear:1,women's clothing:3,children's apparel:2,home furnishings:2,hair care:2,clothing:15,maternity clothing:1,women's shoes:1,jewelry:3,headwear:1,eyewear:3,personalized gifts:1,girl's clothing:1, clothing:2,women's jewelry:2,men's clothing:2,telecommunication:2,photography:1,plus size clothing:1,beauty products:1,children's clothing:1,sporting goods:1,cellular accessories:1,stuffed animals:1,restaurant:7, beauty products:1,perfume:1,nutritional supplements:2,footwear:1"
823,Westside Pavilion,Los Angeles County,california,6037,34.196398,-118.261862,9818605,3445076,10509869649,1795012906,4057.884,693.058,1.7,35.9,33.6,34.8,10.9,0.7,13.7,8.7,67.7,50.7,49.3,32.3,94.1,21.8,50.3,5.8,"men's gifts:1,women's clothing:1,children's apparel:2,hair care:1,clothing:12,maternity clothing:1,fasion wholesale:1,jewelry:1,chocolates:1,eyewear:2,mattress:1,personalized gifts:1,books and digital media:1, clothing:1,disney:1,women's jewelry:1,makeup:1,women's shoes:1,plus size clothing:1,beauty products:2,cellular accessories:1,stuffed animals:1,restaurant:5,nutritional supplements:1,footwear:1"
824,Southgate Plaza,Union County,south carolina,45087,34.690514,-81.615831,28961,14153,1331696606,4805084,514.171,1.855,2,43.6,40.4,41.9,16.5,0.2,0.3,31.3,67.6,52.4,47.6,32.4,84.6,0.3,66.6,10.3,"telecommunication:1,restaurant:2,women's clothing:1,nutritional supplements:1,beauty products:1,footwear:1"
825,Lakeline Plaza,Williamson County,texas,48491,30.64903,-97.605069,422679,162773,2896391221,41793130,1118.303,16.136,2,34.9,33.5,34.2,8.9,0.6,4.8,6.2,73.1,50.8,49.2,26.9,93.8,6.9,78.1,8.8,"consumer electronics:1,restaurant:1,plus size clothing:1,women's clothing:1,home furnishings:1,clothing:1"
826,Desert Sky Mall,Maricopa County,arizona,4013,33.346541,-112.495534,3817117,1639279,23828260196,62795719,9200.143,24.246,4.1,35.7,33.5,34.6,12.1,2.1,3.5,5,66.1,50.5,49.5,33.9,86.1,12.8,73,13.7,"nutritional supplements:1,footwear:2,jewelry:3,restaurant:2,photography:1,video games:1,women's clothing:1,eyewear:1,children's apparel:1,skincare:1,beauty products:1,women's jewelry:1,hair care:1,children's clothing:1,clothing:6,telecommunication:2"
827,Lafayette Square,Medina County,ohio,39103,41.116051,-81.899566,172332,69181,1091310901,4294303,421.358,1.658,1.6,41.2,39.6,40.4,13.1,0.1,1,1.2,74,50.7,49.3,26,94.2,0.4,96.1,10,"cookies:1,telecommunication:1,women's clothing:1,children's apparel:1,sports apparel:1,beauty products:1,children's clothing:1,clothing:3,maternity clothing:1,women's shoes:1,cellular accessories:1,jewelry:1,restaurant:1,nutritional supplements:1,footwear:2"
828,Twelve Oaks Mall,Oakland County,michigan,26125,42.660452,-83.38421,1202362,527255,2247237402,102643656,867.663,39.631,2.5,41.3,39,40.2,13.2,0.3,5.6,13.6,65.8,51.5,48.5,34.2,91.7,1,77.3,11.8,"men's clothing:1,chocolates:1,men's gifts:1,shoes:3,children's footwear:1,denim:1,makeup:1,women's clothing:7,children's apparel:2,sports apparel:1,beauty products:3,hair care:1,clothing:18,maternity clothing:1,stuffed animals:1,fasion wholesale:1,footwear:2,cellular accessories:1,jewelry:5,restaurant:4, accessories:1,headwear:1, beauty products:1,eyewear:2,mattress:1,nutritional supplements:1,telecommunication:3,personalized gifts:1,women's handbags:1,girl's clothing:1,furniture:1, clothing:2,women's shoes:2,women's jewelry:1"
829,Cedar Creek Mall,Marathon County,wisconsin,55073,44.898036,-89.757823,134063,57734,4001488029,81139058,1544.983,31.328,2.2,40.4,38.4,39.4,14.2,0.5,5.3,0.6,68.3,49.8,50.2,31.7,92.1,0.9,91.3,11.1,nutritional supplements:1
830,Montebello Town Center,Los Angeles County,california,6037,34.196398,-118.261862,9818605,3445076,10509869649,1795012906,4057.884,693.058,1.7,35.9,33.6,34.8,10.9,0.7,13.7,8.7,67.7,50.7,49.3,32.3,94.1,21.8,50.3,5.8,"shoes:1,women's clothing:1,children's apparel:2,skincare:1,clothing:14,maternity clothing:1,women's shoes:2,fasion wholesale:1,jewelry:2,chocolates:1,eyewear:2,women's jewelry:1,women's handbags:1,girl's clothing:1, clothing:1,disney:1,personalized gifts:1,coffee:1,telecommunication:3,plus size clothing:2,sports apparel:1,beauty products:2,children's clothing:1,cellular accessories:1,stuffed animals:1,restaurant:7,nutritional supplements:1,footwear:1"
831,Park Plaza Mall,Pulaski County,arkansas,5119,34.773988,-92.316515,382748,175555,1967777404,124061704,759.763,47.9,2.3,37.5,34.6,36,12,0.4,2,35,62,51.9,48.1,38,90.4,3,57.5,10.9,"nutritional supplements:1,cookies:1,stuffed animals:1,women's shoes:3,women's jewelry:2,children's footwear:1,plus size clothing:1,women's clothing:4,eyewear:2,shoes:2,sports apparel:1,restaurant:2,beauty products:2,headwear:1,footwear:1,hair care:1,girl's clothing:1, clothing:1,clothing:14,women's handbags:1,jewelry:3"
832,New River Valley Mall,Williamson County,tennessee,47187,35.894972,-86.896958,183182,68498,1508925443,3028823,582.599,1.169,2.1,39.2,37.7,38.5,9.7,0.2,3,4.3,79,51.2,48.8,21,94.7,1.5,89.4,7.2,"consumer electronics:1,footwear:1,shoes:1,restaurant:2,clothing:12,women's clothing:3,eyewear:1,nutritional supplements:2,jewelry:2,beauty products:1,personalized gifts:1,sporting goods:1,diamonds:1,hair care:1, clothing:1,telecommunication:1"
833,Chesterfield Towne Center,Richmond city,virginia,51760,37.531399,-77.476009,204214,98349,154894705,6880315,59.805,2.657,4.6,32.7,31.3,32,11.1,0.3,2.3,50.6,47.4,52.3,47.7,52.6,88.6,3.6,40.8,9.5,"shoes:1,children's footwear:1,women's clothing:4,children's apparel:2,skincare:1,hair care:1,clothing:15,maternity clothing:1,jewelry:3,eyewear:2,mattress:1,personalized gifts:1,girl's clothing:1,books and digital media:1, clothing:1,women's jewelry:1,men's clothing:1,telecommunication:2,sports apparel:1,beauty products:2,cellular accessories:1,children's clothing:1,sports clothing:1,restaurant:4,nutritional supplements:1,footwear:1"
834,Cherry Hill Mall,Philadelphia County,pennsylvania,42101,40.009376,-75.133346,1526006,670171,347321129,22289408,134.101,8.606,2.1,35.1,31.9,33.5,12.1,0.5,6.3,43.4,56.8,52.8,47.2,43.2,89.5,5.9,41,8.9,"chocolates:1,shoes:3,children's footwear:1,women's clothing:8,children's apparel:2,hair care:1,clothing:19,telecommunication:2,jewelry:4, accessories:1,headwear:1,eyewear:3,personalized gifts:1,girl's clothing:1, clothing:1,plus size clothing:2,women's shoes:2,photography:1,makeup:1,beauty products:2,children's clothing:1,consumer electronics:1,stuffed animals:1,restaurant:4,video games:1,nutritional supplements:1,footwear:2,clothing & shoes:1"
835,Deerbrook Shopping Center,Cook County,illinois,17031,41.894294,-87.645455,5194675,2180359,2448383588,1785882224,945.326,689.533,3,36.6,34,35.3,11.9,0.4,6.2,24.8,61.6,51.6,48.4,38.4,90.2,10.6,55.4,9.6,"men's clothing:1,consumer electronics:1,coffee:1,footwear:1,restaurant:2,diamonds:1,home furnishings:1,telecommunication:1"
836,Ford City Mall,Cook County,illinois,17031,41.894294,-87.645455,5194675,2180359,2448383588,1785882224,945.326,689.533,3,36.6,34,35.3,11.9,0.4,6.2,24.8,61.6,51.6,48.4,38.4,90.2,10.6,55.4,9.6,"telecommunication:2,headwear:1,plus size clothing:1,women's clothing:3,children's apparel:1,beauty products:1,clothing:3,women's shoes:1,consumer electronics:1,jewelry:3,restaurant:3,perfume:1,nutritional supplements:2,footwear:1,women's jewelry:1"
837,Crossroads Center,McLean County,illinois,17113,40.494559,-88.844539,169572,69656,3064933852,7490543,1183.378,2.892,1.9,32.6,31.5,32.1,10.2,0.2,4.3,7.3,61.6,51.4,48.6,38.4,93.5,1.5,84.3,8.2,"nutritional supplements:1,footwear:1"
838,Mercer Mall,Polk County,florida,12105,27.953115,-81.692783,602095,281214,4656375819,550925774,1797.837,212.714,4.3,41,38.6,39.8,18,0.4,1.6,14.8,70,51,49,30,80.9,5.5,75.2,15.7,"cookies:1,hair care:2,photography:1,women's clothing:2,beauty products:1,sporting goods:1,clothing:7,jewelry:2,restaurant:2,video games:1,nutritional supplements:1,footwear:1"
839,North Riverside Park Mall,Cook County,illinois,17031,41.894294,-87.645455,5194675,2180359,2448383588,1785882224,945.326,689.533,3,36.6,34,35.3,11.9,0.4,6.2,24.8,61.6,51.6,48.4,38.4,90.2,10.6,55.4,9.6,"cookies:1,women's clothing:3,children's apparel:1,hair care:1,clothing:13,maternity clothing:1,telecommunication:3,jewelry:2,eyewear:2,diamonds:1,men's clothing:1,coffee:1,women's shoes:2,photography:2,plus size clothing:1,sports apparel:1,beauty products:1,children's clothing:1,restaurant:4,perfume:1,nutritional supplements:1,footwear:1"
840,Camelback Colonnade,Maricopa County,arizona,4013,33.346541,-112.495534,3817117,1639279,23828260196,62795719,9200.143,24.246,4.1,35.7,33.5,34.6,12.1,2.1,3.5,5,66.1,50.5,49.5,33.9,86.1,12.8,73,13.7,"men's clothing:1,consumer electronics:1,home furnishings:1,telecommunication:1,furniture:1,clothing:1,eyewear:1,ice cream:1,footwear:1"
841,Tower Square,Hampden County,massachusetts,25013,42.136198,-72.635648,463490,192175,1598385896,44316925,617.14,17.111,1.5,40,36.8,38.6,14.2,0.4,2,9,64.4,52,48,35.6,93.6,9.2,76.5,6,
842,Pacific Place,Jefferson County,colorado,8059,39.58646,-105.245601,534543,229967,1979289991,25446228,764.208,9.825,1.5,41.8,39,40.4,12.6,0.9,2.6,1.1,65.4,50.4,49.6,34.6,94.9,4.2,88.4,6.4,"coffee:1,men's gifts:1,women's clothing:4,children's apparel:1,beauty products:1,clothing:4,furniture:1,restaurant:2,women's handbags:1,books and digital media:1,clothing & shoes:1"
843,Silver Lake Mall,Kootenai County,idaho,16055,47.677113,-116.694918,138494,63177,3222267856,185180068,1244.125,71.498,3.2,40,37.7,38.9,14.5,1.3,0.7,0.3,68.8,50.7,49.3,31.2,85.8,0.8,94.5,7.7,"beauty products:1,cellular accessories:1,footwear:1,hair care:1,clothing:3,women's clothing:2, clothing:1,eyewear:1"
844,Northbrook Court,Cook County,illinois,17031,41.894294,-87.645455,5194675,2180359,2448383588,1785882224,945.326,689.533,3,36.6,34,35.3,11.9,0.4,6.2,24.8,61.6,51.6,48.4,38.4,90.2,10.6,55.4,9.6,"consumer electronics:1,coffee:1,men's gifts:1,shoes:1,restaurant:3,denim:1,children's footwear:1,women's clothing:6,eyewear:1,children's apparel:1,skincare:1,beauty products:1,footwear:1,women's handbags:1,girl's clothing:1,clothing:6,clothing & shoes:1,jewelry:1"
845,4S Commons Town Center,San Diego County,california,6073,33.023604,-116.776117,3095313,1164786,10895120648,826347909,4206.63,319.055,1.9,36.1,33.2,34.6,11.4,0.9,10.9,5.1,66.3,49.8,50.2,33.7,93.3,13.6,64,5.5,"home furnishings:1,restaurant:2"
846,Park Place,Santa Cruz County,arizona,4023,31.525904,-110.84519,47420,18010,3203598541,3088171,1236.916,1.192,3.5,37.1,33.6,35.6,13.1,0.7,0.5,0.4,77.7,52.4,47.6,22.3,85.7,22.9,73.5,11.5,"shoes:2,women's clothing:5,hair care:1,clothing:18,maternity clothing:1,ice cream:1,women's shoes:1,jewelry:5, accessories:1,eyewear:2,women's jewelry:1,women's handbags:1,girl's clothing:1, clothing:2,personalized gifts:1,coffee:1,telecommunication:2,beauty products:1,children's clothing:1,sports clothing:1,restaurant:9,nutritional supplements:2,footwear:1"
847,Montgomery Village Shopping Ctr.,Sonoma County,california,6097,38.532574,-122.945194,483878,204572,4081430136,497530353,1575.849,192.098,1.9,41.6,38,39.9,13.9,1.3,3.8,1.6,63,50.8,49.2,37,90.8,11.8,76.8,5.1,"men's gifts:1,restaurant:1,chocolates:1,women's clothing:2,clothing:3,ice cream:1"
848,The Shops at Willow Bend,Dallas County,texas,48113,32.766987,-96.778424,2368139,943257,2256602704,96696353,871.279,37.335,2.3,33.4,31.6,32.5,8.8,0.7,5,22.3,65.4,50.6,49.4,34.6,90.7,15.5,53.5,11.9,"chocolates:1,men's gifts:1,shoes:2,children's footwear:1,women's clothing:7,children's apparel:1,skincare:1,hair care:1,clothing:10,fasion wholesale:1,jewelry:2, accessories:1,headwear:1,eyewear:2,women's jewelry:1,women's handbags:1,girl's clothing:1, clothing:1,personalized gifts:1,men's clothing:1,women's shoes:1,makeup:1,beauty products:3,consumer electronics:1,cellular accessories:1,restaurant:6,nutritional supplements:2"
849,Westfield South Shore Shopping Centre,Nassau County,new york,36059,40.729687,-73.589384,1339532,468346,737411094,436460605,284.716,168.518,1.2,42.7,39.5,41.1,15.3,0.2,7.6,11.1,75.9,51.6,48.4,24.1,95.8,5.6,73,4.8,"shoes:1,headwear:1,women's clothing:2,children's apparel:1,clothing:10,maternity clothing:1,telecommunication:2,jewelry:5,eyewear:2,women's jewelry:1,girl's clothing:1,disney:1,men's clothing:1,women's shoes:1,photography:1,beauty products:2,children's clothing:1,consumer electronics:1,sports clothing:1,restaurant:5,nutritional supplements:1,footwear:1"
850,Columbia Center,Benton County,washington,53005,46.228072,-119.516864,175177,68618,4403961281,154412831,1700.379,59.619,1.3,36.6,34.6,35.6,11.8,0.9,2.7,1.3,70,50.1,49.9,30,95.2,9,82.4,4.9,"shoes:1,headwear:1,women's clothing:5,children's apparel:3,hair care:2,clothing:13,women's shoes:2,jewelry:4,eyewear:3,mattress:1,women's jewelry:1,women's handbags:1,girl's clothing:1, clothing:2,coffee:1,telecommunication:2,plus size clothing:1,sports apparel:1,beauty products:3,cellular accessories:1,children's clothing:1,consumer electronics:2,sports clothing:1,restaurant:4,perfume:1,nutritional supplements:2,footwear:3"
851,Newport on the Levee,Hamilton County,ohio,39061,39.196927,-84.544187,802374,377364,1051302780,17407186,405.91,6.721,3,38.8,35.3,37.1,13.3,0.2,2,25.7,59.2,52,48,40.8,88.5,1.1,68.8,12.9,"books and digital media:1,restaurant:1,telecommunication:1,ice cream:1,shoes:1"
852,Boise Towne Square,Ada County,idaho,16001,43.447861,-116.244456,392365,159471,2726158067,20424656,1052.576,7.886,3.1,35.6,34.1,34.8,10.5,0.7,2.4,1.1,66.9,49.9,50.1,33.1,93.1,2.4,90.3,7.9,"cookies:1,men's gifts:1,women's clothing:5,children's apparel:2,hair care:2,clothing:20,maternity clothing:1,telecommunication:3,jewelry:4,chocolates:1,eyewear:1,personalized gifts:1,women's handbags:1,girl's clothing:1, clothing:2,women's jewelry:1,plus size clothing:2,women's shoes:2,makeup:1,sports apparel:1,beauty products:2,children's clothing:1,furniture:2,consumer electronics:1,sports clothing:1,stuffed animals:1,restaurant:3,video games:1, beauty products:1,footwear:3"
853,Richmond Town Square,Geauga County,ohio,39055,41.499322,-81.173505,93389,36574,1036420180,21054534,400.164,8.129,2.1,44.1,42.2,43.3,15.5,0.1,0.6,1.3,74.9,50.8,49.2,25.1,93.7,0.3,96.9,8.2,"telecommunication:1,photography:1,women's clothing:4,children's apparel:1,beauty products:1,clothing:3,women's shoes:1,consumer electronics:2,jewelry:3,restaurant:2,eyewear:2,nutritional supplements:1,footwear:1,women's jewelry:1"
854,The Friendly Center,Guilford County,north carolina,37081,36.079065,-79.788665,488406,218017,1672364534,30883952,645.704,11.924,3,37.5,35.1,36.3,12.3,0.5,3.9,32.5,62.6,52.4,47.6,37.4,90.2,3.6,57,11.8,"men's clothing:1,consumer electronics:1,restaurant:2,children's footwear:1,women's clothing:4,eyewear:1,children's apparel:1,home furnishings:1,nutritional supplements:1,beauty products:1,maternity clothing:1,footwear:1,children's clothing:1,clothing:10,books and digital media:1,ice cream:1,furniture:2"
855,The Shops at Sunset Place,Miami-Dade County,florida,12086,25.610494,-80.499045,2496435,989435,4915061046,1381673402,1897.716,533.467,3.2,39.4,36.9,38.2,14.1,0.2,1.5,18.9,69.5,51.6,48.4,30.5,87.7,3.2,73.8,8.9,"clothing:7,beauty products:1,women's clothing:1,sports clothing:1,restaurant:2"
856,Colonial Pinnacle At Portofino,Jefferson County,alabama,1073,33.553444,-86.896536,658466,300552,2878192209,32474487,1111.276,12.538,3.4,38.6,35.3,37.1,13.1,0.3,1.4,42,64.6,52.6,47.4,35.4,87.7,2.2,53,13.3,"men's clothing:1,beauty products:1,clothing:1,footwear:1,girl's clothing:1"
857,Honey Creek Mall,Vigo County,indiana,18167,39.429143,-87.390375,107848,46006,1044574633,18486867,403.313,7.138,2.4,38.1,34.3,36.1,13.5,0.3,1.7,6.9,61.9,49.4,50.6,38.1,89.9,0.6,88.3,10.9,"nutritional supplements:1,shoes:1,restaurant:3, beauty products:1,headwear:1,women's clothing:4,eyewear:2, clothing:1,sports apparel:1,jewelry:5,beauty products:1,personalized gifts:1,hair care:1,girl's clothing:1,children's clothing:1,clothing:10,women's jewelry:1,telecommunication:1"
858,Francis Scott Key Mall,Frederick County,maryland,24021,39.470427,-77.397626,233385,90136,1709964627,18537350,660.221,7.157,1.8,39.4,37.6,38.6,11.1,0.3,3.8,8.6,72.2,50.8,49.2,27.8,94.1,2.9,81.5,6.7,"men's clothing:1,consumer electronics:1,jewelry:5,headwear:1,candles:1,plus size clothing:1,women's clothing:2,eyewear:1,home furnishings:1,nutritional supplements:1,restaurant:3,telecommunication:1,personalized gifts:1,clothing:12,women's jewelry:1,shoes:1"
859,Kingsport Town Center,Sullivan County,tennessee,47163,36.510212,-82.299397,156823,73760,1070605281,42330294,413.363,16.344,2.6,45.1,42.2,43.6,18.6,0.3,0.6,2.1,66.9,51.6,48.4,33.1,89.9,0.6,95.1,10.8,"telecommunication:1,women's clothing:1,home furnishings:1,beauty products:1,sporting goods:1,clothing:5,hair care:1,jewelry:1,restaurant:1,video games:1, beauty products:1,eyewear:1,nutritional supplements:1,women's jewelry:1,girl's clothing:1"
860,Colonie Center,Albany County,new york,36001,42.588271,-73.974014,304204,137739,1354056384,27189291,522.804,10.498,1.6,40,36.8,38.5,13.9,0.2,4.8,12.7,56.5,51.7,48.3,43.5,91.7,1.6,78.2,6.7,"nutritional supplements:1,video games:1,jewelry:1,restaurant:3,personalized gifts:1,photography:1,plus size clothing:1,women's clothing:3,eyewear:2,sports apparel:1,beauty products:3,headwear:1,footwear:3,girl's clothing:1,books and digital media:1,clothing:9,children's clothing:1,telecommunication:1"
861,HarMar Mall,Ramsey County,minnesota,27123,45.01525,-93.100141,508640,217197,394228284,46271710,152.212,17.866,2,35.9,33.3,34.6,12,0.8,11.7,11,58.1,51.5,48.5,41.9,93.3,2.9,70.1,7.4,"nutritional supplements:1,books and digital media:1,footwear:1,restaurant:1"
862,Schuylkill Mall,Berkeley County,west virginia,54003,39.457854,-78.032338,104169,44762,831754462,1074157,321.142,0.415,2.8,37.9,37.3,37.6,11.4,0.3,0.8,7.1,70,50.4,49.6,30,89,1.2,87.8,11.3,"telecommunication:1,women's clothing:1,beauty products:1,hair care:1,clothing:2,jewelry:1,restaurant:2,video games:1,nutritional supplements:1,footwear:2,personalized gifts:1"
863,The Shops at Legacy,Collin County,texas,48085,33.193885,-96.578153,782341,300960,2178761906,116235513,841.225,44.879,1.8,35.6,34.3,35,7.7,0.6,11.2,8.5,72.9,50.9,49.1,27.1,94.3,5.1,71.6,9,"coffee:1,restaurant:1"
864,Menlo Park Mall,Middlesex County,new jersey,34023,40.439593,-74.407585,809858,294800,800083087,36034482,308.914,13.913,1.4,38.4,36,37.2,12.3,0.3,21.4,9.7,72.2,50.9,49.1,27.8,95.4,7,58.6,5.3,"men's gifts:1,headwear:1,denim:1,women's clothing:5,children's apparel:1,guest services:1,clothing:13,ice cream:1,telecommunication:3,jewelry:6,chocolates:1,eyewear:2,mattress:1,personalized gifts:1,women's handbags:1,girl's clothing:1, clothing:1,women's jewelry:1,men's clothing:1,coffee:1,women's shoes:1,plus size clothing:1,sports apparel:1,beauty products:3,children's clothing:1,consumer electronics:1,cellular accessories:1,restaurant:5,nutritional supplements:1,footwear:2,clothing & shoes:1"
865,Winston Plaza,Cook County,illinois,17031,41.894294,-87.645455,5194675,2180359,2448383588,1785882224,945.326,689.533,3,36.6,34,35.3,11.9,0.4,6.2,24.8,61.6,51.6,48.4,38.4,90.2,10.6,55.4,9.6,"consumer electronics:1,clothing:1,footwear:2,women's clothing:1,eyewear:1"
866,West Town Mall,Knox County,tennessee,47093,35.992726,-83.937721,432226,194949,1316271254,45715161,508.215,17.651,3.1,38.5,35.7,37.2,13.1,0.3,1.9,8.8,62.5,51.4,48.6,37.5,90.9,1.5,85.6,10.1,"men's clothing:1,makeup:1,men's gifts:1,shoes:1,headwear:1,denim:1,plus size clothing:1,women's clothing:5,children's apparel:3,sports apparel:1,beauty products:2, clothing:2,chocolates:1,clothing:19,guest services:1,furniture:2,skincare:1,footwear:1,sports clothing:1,jewelry:5,restaurant:8,consumer electronics:2,candles:1,children's footwear:1, beauty products:1,eyewear:3,mattress:1,nutritional supplements:2,telecommunication:1,personalized gifts:1,women's handbags:1,girl's clothing:1,photography:1,women's jewelry:2"
867,Fashion Fair,Fresno County,california,6019,36.761006,-119.655019,930450,315531,15431126407,137815999,5957.991,53.211,2.4,31.6,29.8,30.6,10,1.7,9.6,5.3,74.1,50,50,25.9,91.7,23.3,55.4,7,"men's clothing:1,coffee:1,makeup:1,men's gifts:1,women's shoes:1,children's footwear:1,denim:1,plus size clothing:1,women's clothing:7,children's apparel:2,sports apparel:1,beauty products:3,hair care:1,cellular accessories:1,children's clothing:1,clothing:14,stuffed animals:1,skincare:1,footwear:1,sports clothing:1,jewelry:4,restaurant:5,consumer electronics:1,chocolates:1,shoes:1,eyewear:1,mattress:1,nutritional supplements:1,telecommunication:1,personalized gifts:1,girl's clothing:1, clothing:2,disney:1,women's jewelry:1"
868,Moreno Valley Mall,Orange County,california,6059,33.675687,-117.777207,3010232,1048907,2047561084,407916814,790.568,157.498,1.4,37.5,34.9,36.2,11.6,0.6,17.9,1.7,71.4,50.5,49.5,28.6,94.6,14.5,60.8,5.9,"cookies:1,headwear:1,women's clothing:2,children's apparel:1,hair care:1,clothing:9,maternity clothing:1,women's shoes:1,jewelry:4,eyewear:1,personalized gifts:1,girl's clothing:1,women's jewelry:1,men's clothing:1,telecommunication:2,plus size clothing:1,sports apparel:1,beauty products:1,children's clothing:1,consumer electronics:1,restaurant:3,video games:1,nutritional supplements:1"
869,Griffin Crossroads,Starr County,texas,48427,26.546335,-98.715803,60968,19526,3168018574,15302285,1223.179,5.908,0.9,30.4,27.5,29,10.3,0.1,0.2,0.1,85.2,51.7,48.3,14.8,87.1,3,96.1,8.3,"clothing:1,footwear:2,sporting goods:1,restaurant:1"
870,Northfield Stapleton,Denver County,colorado,8031,39.761849,-104.880625,600158,285797,396268588,4225359,153,1.631,3.6,33.9,33.5,33.7,10.4,1.4,3.4,10.2,47.5,50,50,52.5,92.1,11.9,68.9,7.2,"men's clothing:1,coffee:1,men's gifts:1,shoes:1,restaurant:2,candles:1,photography:1,women's clothing:2,eyewear:1,perfume:1,beauty products:2,footwear:1,girl's clothing:1,sports clothing:1,children's clothing:1,clothing:8,ice cream:1,telecommunication:2"
871,Mondawmin Mall,Baltimore city,maryland,24510,39.300213,-76.610516,620961,296685,209643241,28768302,80.944,11.108,4.2,35.7,33.1,34.4,11.7,0.4,2.3,63.7,53.6,52.9,47.1,46.4,84.2,1.8,29.6,10.7,"perfume:1,consumer electronics:1,telecommunication:1,department store:1,restaurant:1,clothing:2,women's jewelry:1,children's apparel:1,women's shoes:1"
872,Edinburgh Commons,Chesapeake city,virginia,51550,36.679376,-76.301788,222209,83196,882669156,26052854,340.8,10.059,1.9,38.4,35.4,37,10.4,0.4,2.9,29.8,75.3,51.4,48.6,24.7,95.6,1.2,62.6,4.5,
873,Westgate Mall,Northampton County,pennsylvania,42095,40.752791,-75.307447,297735,120363,957444154,20006520,369.671,7.725,1.6,42.3,39.5,40.9,15.7,0.2,2.4,5,68.9,51.2,48.8,31.1,94.4,3.8,86.3,6.8,"nutritional supplements:1,footwear:1,jewelry:1,restaurant:1"
874,Cielo Vista,El Paso County,texas,48141,31.766403,-106.24139,800647,270307,2622862905,5871209,1012.693,2.267,1.6,33.2,29.4,31.3,10.3,0.8,1,3.1,76.6,51.6,48.4,23.4,94.9,10.5,82.1,4.4,"men's clothing:1,cookies:1,women's shoes:2,photography:2,plus size clothing:1,women's clothing:3,coffee:1,children's apparel:4,home furnishings:1,sports apparel:1,beauty products:2,hair care:2,cellular accessories:1,children's clothing:1,perfume:1,clothing:15,guest services:1,shoes:2,fasion wholesale:1,consumer electronics:1,footwear:2,sports clothing:1,jewelry:6,restaurant:5, accessories:1,eyewear:3,skincare:1,nutritional supplements:2,telecommunication:3,personalized gifts:1,women's handbags:1,girl's clothing:1, clothing:2,women's jewelry:1"
875,Laurel Park Place,Wayne County,michigan,26163,42.284664,-83.261953,1820584,821693,1585280173,156946749,612.08,60.597,2.9,38.6,35.8,37.3,12.7,0.4,2.5,40.5,64.1,52,48,35.9,85.5,1.8,52.3,14.4,"men's clothing:2,cookies:1,men's gifts:1,women's shoes:1,women's clothing:2,children's apparel:1,beauty products:1,clothing:5,fasion wholesale:1,restaurant:4,chocolates:1,eyewear:2,nutritional supplements:1,personalized gifts:1,girl's clothing:1"
876,The Village of Rochester Hills,Oakland County,michigan,26125,42.660452,-83.38421,1202362,527255,2247237402,102643656,867.663,39.631,2.5,41.3,39,40.2,13.2,0.3,5.6,13.6,65.8,51.5,48.5,34.2,91.7,1,77.3,11.8,"men's clothing:1,coffee:1,women's shoes:1,women's clothing:4,beauty products:1,children's clothing:1,clothing:11,furniture:2,candles:1,nutritional supplements:1, clothing:1,clothing & shoes:1"
877,Karcher Mall,Kitsap County,washington,53035,47.639687,-122.649636,251133,107367,1022893152,442829766,394.941,170.978,2.2,41.2,37.3,39.4,13.3,1.6,4.9,2.6,67.7,49.4,50.6,32.3,90.5,1.6,82.6,8.6,"coffee:1,telecommunication:2,restaurant:2,nutritional supplements:1,beauty products:1,clothing:4"
878,Northwest Arkansas Mall,Washington County,arkansas,5143,35.971209,-94.218417,203065,87808,2439681852,27046999,941.966,10.443,3.7,31.6,30,30.7,9.7,1.2,2.2,3,62.9,50,50,37.1,87,8.9,79.9,15.4,"consumer electronics:1,cookies:1,shoes:2,restaurant:4,plus size clothing:1,women's clothing:5,eyewear:2,children's apparel:2,nutritional supplements:1,jewelry:3,beauty products:1,personalized gifts:1,hair care:1,diamonds:1,sports apparel:1,children's clothing:1,clothing:17,women's shoes:2,footwear:2"
879,Susquehanna Valley Mall,Northumberland County,pennsylvania,42097,40.851524,-76.709877,94528,45125,1187166553,49616087,458.368,19.157,1.8,45.4,41.6,43.4,18.5,0.2,0.4,2,64.7,50.1,49.9,35.3,87,1,95.4,9.8,"telecommunication:2,women's clothing:3,children's apparel:1,beauty products:1,clothing:5,consumer electronics:1,jewelry:4,restaurant:3,candles:1, beauty products:1,personalized gifts:1,women's jewelry:1"
