mallid,mall,name,usps,geoid,INTPTLAT,INTPTLONG,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,Homeowner_vacancy_rate_percent,Median_Age_Female,Median_Age_Male,Median_Age,Percent_65_years_and_over,Percent_American_Indian_and_Alaska_Native,Percent_Asian,Percent_Black_or_African_American,Percent_Family_households,Percent_Female,Percent_Male,Percent_Nonfamily_households,Percent_Occupied_housing_units,Percent_Some_Other_Race,Percent_White,Rental_vacancy_rate_percent
30,Tallahassee Mall,Leon County,florida,12073,30.45931,-84.2778,275487,124136,1727138746,90486851,666.852,34.937,2.7,30.5,28.8,29.6,9.4,0.3,2.9,30.3,54.9,52.4,47.6,45.1,89.4,1.2,63,11.7,"shoes:1,women's clothing:1,beauty products:1,clothing:5,ice cream:1,telecommunication:1,jewelry:1,restaurant:2,nutritional supplements:1,footwear:2,books and digital media:1"
31,Chino Spectrum Marketplace,Orange County,california,6059,33.675687,-117.777207,3010232,1048907,2047561084,407916814,790.568,157.498,1.4,37.5,34.9,36.2,11.6,0.6,17.9,1.7,71.4,50.5,49.5,28.6,94.6,14.5,60.8,5.9,"men's clothing:1,department store:1,restaurant:1,beauty products:1,sporting goods:1,clothing:2,maternity clothing:1"
32,Centre at Glen Burnie,Baltimore city,maryland,24510,39.300213,-76.610516,620961,296685,209643241,28768302,80.944,11.108,4.2,35.7,33.1,34.4,11.7,0.4,2.3,63.7,53.6,52.9,47.1,46.4,84.2,1.8,29.6,10.7,"nutritional supplements:1,department store:1,telecommunication:2,jewelry:1,restaurant:1,plus size clothing:1,clothing:1,ice cream:1,footwear:2"
33,Southdale Shopping Center,District of Columbia,district of columbia,11001,38.904149,-77.017094,601723,296719,158114680,18884970,61.048,7.292,3.4,34,33.6,33.8,11.4,0.3,3.5,50.7,42.3,52.8,47.2,57.7,89.9,4.1,38.5,7.9,"coffee:1,footwear:1,restaurant:2"
34,Scottsdale Pavilions,Maricopa County,arizona,4013,33.346541,-112.495534,3817117,1639279,23828260196,62795719,9200.143,24.246,4.1,35.7,33.5,34.6,12.1,2.1,3.5,5,66.1,50.5,49.5,33.9,86.1,12.8,73,13.7,"men's clothing:1,department store:1,coffee:1,beauty products:1,footwear:2,restaurant:3,clothing:1,telecommunication:1"
35,The Crossroads,Kalamazoo County,michigan,26077,42.246266,-85.532854,250331,110007,1454688724,48274044,561.658,18.639,2.4,35.8,32.4,34.1,12.3,0.4,2.1,10.9,59.9,51,49,40.1,91.5,1.5,81.7,10.2,"shoes:2,headwear:1,women's clothing:6,hair care:1,clothing:23,maternity clothing:1,jewelry:2,eyewear:2,personalized gifts:1,diamonds:1,women's jewelry:1,men's clothing:2,telecommunication:1,photography:2,girl's clothing:1,sports apparel:1,beauty products:1,children's clothing:1,consumer electronics:1,cellular accessories:1,stuffed animals:1,restaurant:3,candles:1,video games:1, beauty products:1,nutritional supplements:1,footwear:2"
36,Arlington Highlands,Tarrant County,texas,48439,32.77204,-97.291291,1809034,714803,2236735560,100223390,863.608,38.696,2,34.3,32.4,33.4,8.9,0.7,4.7,14.9,69.2,51,49,30.8,91.9,10,66.6,11.7,"men's clothing:1,women's clothing:1,home furnishings:2,beauty products:1,clothing:1,ice cream:1,restaurant:3, accessories:1,eyewear:1,footwear:2,girl's clothing:1"
37,Deer Park Town Center,DuPage County,illinois,17043,41.852058,-88.086038,916924,356179,848218379,23083362,327.499,8.913,2,39.5,36.6,38.2,11.6,0.3,10.1,4.6,70.6,51,49,29.4,94.7,4.9,77.9,7.9,"men's clothing:1,consumer electronics:1,coffee:1,women's shoes:1,restaurant:4,denim:1, accessories:1,children's footwear:1,women's clothing:4,eyewear:1,children's apparel:1,ice cream:1,beauty products:2,footwear:1,books and digital media:1,furniture:3,clothing:5, clothing:1,clothing & shoes:1,jewelry:1"
38,The Arboretum of South Barrington,Shelby County,tennessee,47157,35.183794,-89.895397,927644,398274,1976612450,56576401,763.174,21.844,2.8,36.2,32.9,34.6,10.3,0.2,2.3,52.1,65.9,52.3,47.7,34.1,88.1,3.3,40.6,15.1,"men's clothing:2,beauty products:1,women's clothing:4,girl's clothing:1,candles:1,restaurant:1,clothing:3,children's apparel:1"
39,Tyrone Square Mall,Pinellas County,florida,12103,27.903122,-82.739518,916542,503634,709135878,865905939,273.799,334.328,3.6,47.6,44.8,46.3,21.2,0.3,3,10.3,56.3,52,48,43.7,82.6,2,82.1,13.2,"men's gifts:1,shoes:1,headwear:1,women's clothing:4,children's apparel:2,hair care:2,clothing:15,guest services:1,telecommunication:2,jewelry:5,eyewear:2,mattress:1,personalized gifts:1,girl's clothing:1, clothing:1,women's jewelry:2,men's clothing:1,coffee:1,women's shoes:1,plus size clothing:1,sports apparel:1,beauty products:2,children's clothing:1,consumer electronics:2,restaurant:7,candles:1, beauty products:1,nutritional supplements:2,footwear:3"
