store_name,store_new_id
as kindred spirits,1151
atc cleaners,1152
bank of annapolis,1153
bin 201,1154
brio tuscan grille,1155
cadillac ranch,1156
desi living innovations,1157
eastern mountain sports,1158
go wireless,1159
great gatherings,1160
charm city run,1161
chop house,1162
lucy activewear,1163
lululemon,1164
menchies frozen yogurt,1165
metro silver diner,1166
my eye dr,1167
paladar,1168
paper source,1169
philly flash,1170
pnc bank,1171
poppystella,1172
real seafood,1173
reveal medspa,1174
smyth,1175
sur la table,1176
urban chic,1177
ziki japanese steakhouse,1178
a crepe place to eat,1179
all pro sports,1180
antelope mall vision ctr,1181
art plus gallery,1182
bon bon,1183
buckle it,1184
cacique,1185
cellaxs,1186
century 21,1187
claim jumpers,1188
dairy queen,1189
daniels jewelrys,1190
dianes hallmark,1191
dollar land,1192
elegant jewelry,1193
european watch repair,1194
extensions performing art,1195
fredericks of hollywood,1196
great steak,1197
greenhouse cafe,1198
hellers general store,1199
hilands gifttobacco,1200
chinese gourmet express,1201
invisible shield,1202
kevin jewelrys,1203
kiddie kandids,1204
la perk,1205
luxury perfume,1206
mediterranean delight,1207
mirage for men,1208
no fear,1209
oak west,1210
oishii japan,1211
pagoda,1212
pias auto accessories,1213
pretzel time,1214
queens nails,1215
stik r place,1216
surf city squeeze,1217
torrid,1218
treasure island,1219
wetzels pretzel,1220
yard house,1221
zizibeh,1222
aw all american food,1223
air traffic kitesgames,1224
associated bank,1225
boston shoe repair,1226
caribou coffee,1227
cashmere accessories cart,1228
cellairis cart,1229
city looks salonspa,1230
cost cutters,1231
cut above home,1232
evenson hallmark,1233
express mens,1234
fashion bags,1235
gabriella hl tailor,1236
goldys locker room,1237
goodman jewelrys,1238
herbergers,1239
hollywood nails,1240
mongolian grill,1241
karmelkorn,1242
love from minnesota,1243
manchu wok,1244
murano glass,1245
pillow pals cart,1246
prior avenue,1247
proex photo,1248
relaxing massage,1249
one hour photo,1250
sarku japan,1251
solar x sunglasses cart,1252
tradehome shoes,1253
vanity,1254
vision world,1255
wacky bear,1256
nextel,1257
c j banks,1258
cell world cart,1259
cellairis,1260
country treasures,1261
europe nails,1262
game stop i,1263
gold rush cart,1264
golden links,1265
health plan massage,1266
ibrow designer cart,1267
kabob house,1268
lee customtailor,1269
mid atlantic protel,1270
miracle ear,1271
one stop wireless,1272
perfect nails,1273
quick jewelry repair,1274
roman delight,1275
shaws jewelrys,1276
shenktittle,1277
skyline sports,1278
sunny shades cart,1279
the shoe department,1280
toy riffic,1281
t shirt zone,1282
4 tip to toe,1283
5 7 9,1284
atlanta jewel,1285
avenues news,1286
bagsthings,1287
bladez barbershop,1288
body central,1289
college station,1290
communitysouthern bank,1291
diamond traders,1292
diamonds forever,1293
discount tire,1294
doctors vision works,1295
dtlr,1296
earthbound trading,1297
fye for your entertainment,1298
fitness depot,1299
freshens yogurt,1300
friedman marketing,1301
glamour shots,1302
great wraps,1303
chastian hair salonday spa,1304
jewelrys touch,1305
johnny rockets,1306
katos cajun,1307
king buffet,1308
la z boy galleries,1309
logans roadhouse,1310
market deli,1311
marksmorgan,1312
maximum one realty,1313
michaels artscrafts,1314
niche boutique,1315
ny clothing,1316
perfume paradise,1317
pretzel maker,1318
refresh,1319
regal cinema,1320
rooms to go,1321
shoe carnival,1322
simply fashion,1323
slimberry,1324
sports addiction,1325
the pet company,1326
the sports stop,1327
white barn candle,1328
three dollar cafe,1329
toninails,1330
touchtel wireless,1331
traffic shoes,1332
allstate insurance services inc,1333
aziz salon and day spa,1334
blue baker,1335
c kirk root designs,1336
conolio oilsvinegars,1337
drunk fish,1338
edward jones,1339
estancia churrascaria,1340
heroeslegacies,1341
cheesecake factory,1342
orvis,1343
renaissance hotel,1344
savory spice shop,1345
texas tech regional admissions center,1346
z gallerie,1347
zoes kitchen,1348
360 gourmet world grill,1349
akay jewelersrys,1350
anchor blue,1351
arden b,1352
auto trends,1353
bamboo works chair massage,1354
beauty by thread,1355
briar patch smoke shop,1356
calendar club,1357
candy castle,1358
carls jr,1359
carousel,1360
cathy jean,1361
ccs,1362
citiwear,1363
creative touch,1364
creative touch beauty,1365
cutegirl com,1366
desire jewelrys,1367
devons jewelrys,1368
eminent,1369
eye designs optometry,1370
forever beauty,1371
fragranza,1372
gift card balance reader,1373
go game,1374
hibachi san,1375
hope accessories,1376
chapel hats,1377
icing,1378
jessica mcclintock,1379
mac,1380
metro pcs,1381
orindas originals,1382
pro team sports,1383
quiksilver,1384
reflection shoes,1385
rollerz,1386
ruby thai,1387
scratch proof jackets,1388
seacret,1389
shoe palace,1390
sittra,1391
slim 30,1392
solstice sunglass,1393
sports fever,1394
steak escape,1395
sunglass express,1396
the raider image,1397
totally toys,1398
t shirts plus,1399
xtreme energy,1400
1130 the restaurant,1401
amc 24 theaters,1402
arizona beach company,1403
arizona center quick mart,1404
az wirelesssatellite,1405
brick,1406
cafe roma,1407
culture fresh,1408
flag world,1409
hassayampa trading post,1410
jaynes marketplace,1411
mi amigos mexican grill,1412
my big fat greek,1413
oak creek,1414
sams cafe,1415
sports world,1416
the lobby shop,1417
2b bebe,1418
alex optical,1419
all flags and sports,1420
americas taco,1421
amuse,1422
animal kingdom,1423
arena sports bargrill,1424
arizona territory,1425
black market minerals,1426
bostonian clarks,1427
california girlz,1428
capri jewelrys,1429
