	77	new_id	old_id	mall	county	usps	geoid	INTPTLAT	INTPTLONG	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	Homeowner_vacancy_rate_percent	Median_Age_Female	Median_Age_Male	Median_Age	Percent_65_years_and_over	Percent_American_Indian_and_Alaska_Native	Percent_Asian	Percent_Black_or_African_American	Percent_Family_households	Percent_Female	Percent_Male	Percent_Nonfamily_households	Percent_Occupied_housing_units	Percent_Some_Other_Race	Percent_White	Rental_vacancy_rate_percent	 accessories	beauty products	books and digital media	candles	cellular accessories	children's apparel	children's clothing	children's footwear	chocolates	clothing	clothing & shoes	coffee	consumer electronics	cookies	denim	department store	diamonds	disney	eyewear	fasion wholesale	footwear	furniture	girl's clothing	guest services	hair care	headwear	home furnishings	ice cream	jewelry	makeup	maternity clothing	mattress	men's clothing	men's gifts	nutritional supplements	perfume	personalized gifts	photography	plus size clothing	restaurant	shoes	skincare	sporting goods	sports apparel	sports clothing	stuffed animals	telecommunication	video games	women's clothing	women's handbags	women's jewelry	women's shoes
10	0	10	12	albany mall	Montgomery County	alabama	1101	32.20365	-86.20383100000002	229363	101641	2031190777	40571253	784.247	15.665	2.8	36.5	33.1	34.9	12.0	0.3	2.1	54.7	64.3	52.4	47.6	35.7	88.5	2.1	39.5	13.1	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	11.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	1.0
11	1	11	13	alderwood	Kitsap County	washington	53035	47.639687	-122.64963600000002	251133	107367	1022893152	442829766	394.941	170.97799999999995	2.2	41.2	37.3	39.4	13.3	1.6	4.9	2.6	67.7	49.4	50.6	32.3	90.5	1.6	82.6	8.6	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	12.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	7.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	1.0	8.0	1.0	1.0	0.0	0.0	1.0	1.0	2.0	0.0	6.0	1.0	0.0	1.0
12	0	12	14	alexandria mall	Rapides Parish	louisiana	22079	31.193204	-92.535953	131613	55684	3413506392	113169602	1317.9620000000002	43.695	1.6	38.5	35.3	36.9	13.7	0.8	1.2	32.0	68.3	51.8	48.2	31.7	90.5	1.0	63.3	8.5	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	15.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0
13	0	13	15	algonquin commons	McHenry County	illinois	17111	42.324298	-88.45224499999998	308760	116040	1562206475	19791771	603.1709999999998	7.642	2.0	38.8	37.0	38.0	10.1	0.3	2.5	1.1	75.4	50.1	49.9	24.6	94.1	4.3	90.1	8.6	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
14	0	14	16	almaden plaza shopping center	Santa Clara County	california	6085	37.22077700000001	-121.690622	1781642	631920	3341343470	36174996	1290.1	13.967	1.4	37.1	35.3	36.2	11.1	0.7	32.0	2.6	70.6	49.8	50.2	29.4	95.6	12.4	47.0	4.3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	0	15	17	almeda mall	Harris County	texas	48201	29.857273	-95.393037	4092459	1598698	4411986582	191671993	1703.4779999999996	74.005	2.3	33.0	31.4	32.2	8.1	0.7	6.2	18.9	68.7	50.2	49.8	31.3	89.8	14.3	56.6	13.7	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0
16	0	16	19	altamonte mall	Orange County	florida	12095	28.514435	-81.323295	1145956	487839	2339870128	258560561	903.429	99.831	4.2	34.7	32.7	33.7	9.7	0.4	4.9	20.8	64.8	50.8	49.2	35.2	86.5	6.7	63.6	13.0	1.0	2.0	1.0	1.0	0.0	2.0	1.0	1.0	0.0	17.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	3.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	6.0	2.0	0.0	0.0	1.0	1.0	1.0	2.0	1.0	7.0	1.0	0.0	1.0
17	0	17	20	alton square mall	Jersey County	illinois	17083	39.080192	-90.361365	22985	9848	956408129	20348919	369.271	7.857	1.7	41.4	39.5	40.5	15.7	0.3	0.3	0.4	70.5	51.0	49.0	29.5	89.6	0.2	97.6	7.7	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
18	0	18	21	americana manhasset	Nassau County	new york	36059	40.729687	-73.589384	1339532	468346	737411094	436460605	284.716	168.518	1.2	42.7	39.5	41.1	15.3	0.2	7.6	11.1	75.9	51.6	48.4	24.1	95.8	5.6	73.0	4.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
19	0	19	22	amerige heights town center	Orange County	california	6059	33.675687	-117.777207	3010232	1048907	2047561084	407916814	790.568	157.498	1.4	37.5	34.9	36.2	11.6	0.6	17.9	1.7	71.4	50.5	49.5	28.6	94.6	14.5	60.8	5.9	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
20	0	20	23	anaheim town square	Orange County	california	6059	33.675687	-117.777207	3010232	1048907	2047561084	407916814	790.568	157.498	1.4	37.5	34.9	36.2	11.6	0.6	17.9	1.7	71.4	50.5	49.5	28.6	94.6	14.5	60.8	5.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
21	0	21	24	anderson mall	Anderson County	south carolina	45007	34.519549	-82.638086	187126	84774	1852945207	108805903	715.426	42.01	3.1	40.7	38.7	39.7	15.1	0.3	0.8	16.0	70.3	51.8	48.2	29.7	87.1	1.3	80.1	12.2	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0
22	0	22	26	animas valley mall	San Juan County	new mexico	35045	36.511624	-108.324578	130044	49341	14278776370	65673845	5513.066999999999	25.357	1.3	34.0	32.1	33.0	10.8	36.6	0.4	0.6	73.1	50.4	49.6	26.9	90.0	7.3	51.6	8.6	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0
23	0	23	27	annapolis harbour center	Anne Arundel County	maryland	24003	38.993374	-76.560511	537656	212562	1074590684	447805092	414.902	172.899	1.8	39.7	36.9	38.4	11.8	0.3	3.4	15.5	69.8	50.6	49.4	30.2	93.8	2.4	75.4	6.5	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0
24	0	24	28	annapolis towne centre at parole	Anne Arundel County	maryland	24003	38.993374	-76.560511	537656	212562	1074590684	447805092	414.902	172.899	1.8	39.7	36.9	38.4	11.8	0.3	3.4	15.5	69.8	50.6	49.4	30.2	93.8	2.4	75.4	6.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0
25	0	25	29	antelope valley mall	Los Angeles County	california	6037	34.196397999999995	-118.261862	9818605	3445076	10509869649	1795012906	4057.884	693.058	1.7	35.9	33.6	34.8	10.9	0.7	13.7	8.7	67.7	50.7	49.3	32.3	94.1	21.8	50.3	5.8	0.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	16.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	2.0	6.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	3.0	0.0	1.0	0.0
26	0	26	30	apache mall	Olmsted County	minnesota	27109	44.003429	-92.406722	144248	60495	1692165422	3755969	653.349	1.45	2.0	37.3	35.3	36.3	12.6	0.2	5.4	4.8	66.0	51.1	48.9	34.0	94.4	1.6	85.7	7.9	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	14.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	4.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	4.0	1.0	1.0	0.0
27	0	27	31	apple blossom mall	Winchester city	virginia	51840	39.173869	-78.17635600000001	26203	11872	23912611	54101	9.233	0.021	2.9	36.9	33.6	35.1	14.0	0.4	2.3	10.9	56.2	50.8	49.2	43.8	89.3	8.8	74.5	11.2	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	9.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
28	0	28	32	arbor place	Douglas County	georgia	13097	33.699317	-84.76594399999998	132403	51672	518170971	2484238	200.067	0.959	4.3	36.0	33.8	35.0	8.5	0.3	1.4	39.5	73.8	51.8	48.2	26.2	90.2	3.8	52.5	10.7	0.0	2.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	17.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	1.0	0.0	2.0	1.0	2.0	0.0	3.0	0.0	1.0	0.0	2.0	0.0	2.0	1.0	1.0	1.0	1.0	7.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	3.0	0.0	2.0	1.0
29	0	29	33	arboretum at great hills	Travis County	texas	48453	30.239513	-97.69127	1024266	441240	2564612388	84967219	990.202	32.806	2.5	32.3	31.5	31.9	7.3	0.8	5.8	8.5	56.8	49.6	50.4	43.2	91.7	12.2	69.3	8.7	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
30	0	30	34	arden fair	Sacramento County	california	6067	38.450011	-121.340441	1418788	555932	2498415670	76077248	964.644	29.374	2.5	36.1	33.5	34.8	11.2	1.0	14.3	10.4	66.0	51.0	49.0	34.0	92.4	9.3	57.5	8.3	1.0	3.0	0.0	0.0	1.0	2.0	1.0	1.0	2.0	20.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	4.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0	7.0	1.0	1.0	0.0	1.0	1.0	1.0	3.0	0.0	7.0	1.0	1.0	2.0
31	0	31	35	arizona center	Maricopa County	arizona	4013	33.346540999999995	-112.495534	3817117	1639279	23828260196	62795719	9200.143	24.246	4.1	35.7	33.5	34.6	12.1	2.1	3.5	5.0	66.1	50.5	49.5	33.9	86.1	12.8	73.0	13.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
32	0	32	36	arizona mills	Maricopa County	arizona	4013	33.346540999999995	-112.495534	3817117	1639279	23828260196	62795719	9200.143	24.246	4.1	35.7	33.5	34.6	12.1	2.1	3.5	5.0	66.1	50.5	49.5	33.9	86.1	12.8	73.0	13.7	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	8.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	4.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0
33	0	33	37	arlington highlands	Tarrant County	texas	48439	32.772040000000004	-97.291291	1809034	714803	2236735560	100223390	863.6080000000002	38.696	2.0	34.3	32.4	33.4	8.9	0.7	4.7	14.9	69.2	51.0	49.0	30.8	91.9	10.0	66.6	11.7	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
34	0	34	38	arnot mall	Chemung County	new york	36015	42.155281	-76.747179	88830	38369	1055035677	8877179	407.352	3.427	1.5	42.4	39.4	40.9	15.7	0.3	1.2	6.6	63.6	50.3	49.7	36.4	92.4	0.6	88.7	7.4	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	11.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0
35	0	35	39	arrowhead mall	Muskogee County	oklahoma	40101	35.617551	-95.383911	70990	30908	2099056912	75962995	810.45	29.329	2.2	39.0	36.1	37.6	14.7	17.5	0.6	11.3	67.6	51.1	48.9	32.4	87.5	2.6	59.8	9.3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
36	0	36	40	arrowhead towne center	Maricopa County	arizona	4013	33.346540999999995	-112.495534	3817117	1639279	23828260196	62795719	9200.143	24.246	4.1	35.7	33.5	34.6	12.1	2.1	3.5	5.0	66.1	50.5	49.5	33.9	86.1	12.8	73.0	13.7	0.0	4.0	0.0	1.0	1.0	1.0	1.0	1.0	2.0	18.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	6.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	1.0	0.0	2.0	6.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	0.0	4.0	1.0	1.0	1.0
37	0	37	41	arsenal mall	Suffolk County	massachusetts	25025	42.33196	-71.020173	722023	315522	150618894	160748611	58.154	62.065	2.1	32.1	30.9	31.5	10.5	0.4	8.2	21.6	48.0	51.8	48.2	52.0	92.8	9.7	56.0	5.3	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0
