	0	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	Homeowner_vacancy_rate_percent	Median_Age_Female	Median_Age_Male	Median_Age	Percent_65_years_and_over	Percent_American_Indian_and_Alaska_Native	Percent_Asian	Percent_Black_or_African_American	Percent_Family_households	Percent_Female	Percent_Male	Percent_Nonfamily_households	Percent_Occupied_housing_units	Percent_Some_Other_Race	Percent_White	Rental_vacancy_rate_percent
735	0	9818605	3445076	10509869649	1795012906	4057.884	693.058	1.7	35.9	33.6	34.8	10.9	0.7	13.7	8.7	67.7	50.7	49.3	32.3	94.1	21.8	50.3	5.8
736	0	382748	175555	1967777404	124061704	759.763	47.9	2.3	37.5	34.6	36.0	12.0	0.4	2.0	35.0	62.0	51.9	48.1	38.0	90.4	3.0	57.5	10.9
737	0	799874	325735	1251067046	10761519	483.04	4.155	1.3	42.0	39.2	40.6	15.1	0.1	6.4	8.7	67.9	51.5	48.5	32.1	94.5	1.6	81.1	9.3
738	0	174214	66378	1147617685	36859321	443.098	14.231	2.0	37.9	36.9	37.4	9.5	0.1	4.3	3.4	76.4	50.7	49.3	23.6	94.5	0.6	89.7	7.7
739	0	63043	30593	4134068696	544389499	1596.1729999999998	210.19	2.8	48.3	46.3	47.3	21.4	2.5	1.0	0.4	62.1	50.7	49.3	37.9	88.7	1.7	89.8	6.7
740	0	159978	100632	1761913582	461075444	680.279	178.02200000000005	5.4	56.9	54.6	55.9	34.1	0.3	1.2	5.7	65.2	51.4	48.6	34.8	72.9	1.1	90.0	18.8
741	0	194851	77700	1516296157	15002941	585.445	5.792999999999998	1.7	24.9	24.1	24.5	7.2	0.4	5.2	11.0	53.5	49.4	50.6	46.5	92.3	7.7	73.3	7.0
742	0	402002	137115	871276091	31269436	336.402	12.073	1.6	34.3	32.7	33.5	6.8	0.6	7.5	20.2	76.9	50.3	49.7	23.1	95.4	8.6	57.8	5.6
743	0	297488	118638	2060671707	76968747	795.63	29.718000000000004	2.1	41.2	39.2	40.2	13.5	0.3	3.5	9.9	67.5	50.2	49.8	32.5	91.0	3.5	80.1	8.2
744	0	211033	110432	21039764981	11501683	8123.499	4.441	4.1	50.4	47.9	49.2	24.1	1.7	0.8	0.6	63.4	51.0	49.0	36.6	82.3	4.9	89.3	10.0
