	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	Homeowner_vacancy_rate_percent	Median_Age_Female	Median_Age_Male	Median_Age	Percent_65_years_and_over	Percent_American_Indian_and_Alaska_Native	Percent_Asian	Percent_Black_or_African_American	Percent_Family_households	Percent_Female	Percent_Male	Percent_Nonfamily_households	Percent_Occupied_housing_units	Percent_Some_Other_Race	Percent_White	Rental_vacancy_rate_percent	0
821	1748066.0	810388.0	3133329108.0	292869341.0	1209.785	113.077	3.3	40.7	38.5	39.7	14.3	0.3	3.2	26.7	63.3	51.6	48.4	36.7	84.7	3.7	63.1	10.7	0
822	99710.0	38224.0	596504166.0	41282767.0	230.312	15.939	1.6	42.9	40.9	41.9	12.5	0.2	1.9	2.4	74.9	50.1	49.9	25.1	91.7	2.8	90.7	7.6	0
823	3817117.0	1639279.0	23828260196.0	62795719.0	9200.143	24.246	4.1	35.7	33.5	34.6	12.1	2.1	3.5	5.0	66.1	50.5	49.5	33.9	86.1	12.8	73.0	13.7	0
824	3817117.0	1639279.0	23828260196.0	62795719.0	9200.143	24.246	4.1	35.7	33.5	34.6	12.1	2.1	3.5	5.0	66.1	50.5	49.5	33.9	86.1	12.8	73.0	13.7	0
825	3817117.0	1639279.0	23828260196.0	62795719.0	9200.143	24.246	4.1	35.7	33.5	34.6	12.1	2.1	3.5	5.0	66.1	50.5	49.5	33.9	86.1	12.8	73.0	13.7	0
826	4092459.0	1598698.0	4411986582.0	191671993.0	1703.4779999999996	74.005	2.3	33.0	31.4	32.2	8.1	0.7	6.2	18.9	68.7	50.2	49.8	31.3	89.8	14.3	56.6	13.7	0
827	620961.0	296685.0	209643241.0	28768302.0	80.944	11.108	4.2	35.7	33.1	34.4	11.7	0.4	2.3	63.7	53.6	52.9	47.1	46.4	84.2	1.8	29.6	10.7	0
828	43820.0	20208.0	2534807386.0	39134826.0	978.695	15.11	2.0	39.0	35.8	37.7	14.1	0.2	0.3	69.4	67.0	53.8	46.2	33.0	84.4	0.2	29.1	11.9	0
829	422718.0	181307.0	800879349.0	93428200.0	309.221	36.073	3.0	39.5	36.6	38.2	12.0	0.3	3.7	11.1	67.0	51.6	48.4	33.0	90.8	3.6	78.2	10.9	0
830	508640.0	217197.0	394228284.0	46271710.0	152.21200000000005	17.866	2.0	35.9	33.3	34.6	12.0	0.8	11.7	11.0	58.1	51.5	48.5	41.9	93.3	2.9	70.1	7.4	0
831	47818.0	39813.0	2411436914.0	158956015.0	931.061	61.37300000000001	3.5	48.8	47.8	48.3	20.6	0.3	0.6	0.3	64.5	50.5	49.5	35.5	52.9	0.2	97.5	11.5	0
832	76258.0	36785.0	1573351092.0	1249470315.0	607.474	482.423	3.0	40.7	38.8	39.8	13.8	0.9	0.4	4.1	70.6	50.4	49.6	29.4	78.6	5.2	86.7	11.7	0
833	69442.0	29139.0	2040060341.0	14842424.0	787.672	5.731	2.3	38.0	35.8	37.0	14.3	12.9	0.6	2.9	70.3	52.1	47.9	29.7	88.9	1.0	76.3	11.6	0
834	116638.0	51733.0	1741960803.0	25978863.0	672.575	10.03	2.1	44.4	41.2	42.8	18.5	0.1	0.6	5.8	66.2	51.0	49.0	33.8	89.8	0.3	91.6	9.2	0
835	9818605.0	3445076.0	10509869649.0	1795012906.0	4057.884	693.058	1.7	35.9	33.6	34.8	10.9	0.7	13.7	8.7	67.7	50.7	49.3	32.3	94.1	21.8	50.3	5.8	0
836	685306.0	233755.0	3603505998.0	91108644.0	1391.322	35.177	2.8	34.0	31.5	32.7	10.4	1.1	14.4	7.6	74.9	50.2	49.8	25.1	92.0	19.1	51.0	8.1	0
837	226073.0	94196.0	1762732402.0	39400683.0	680.595	15.213	2.4	37.8	36.5	37.2	11.3	0.9	1.5	19.0	71.1	51.7	48.3	28.9	91.2	1.9	74.8	12.3	0
838	467026.0	202357.0	2016019983.0	70521368.0	778.39	27.228	1.4	39.9	37.0	38.6	14.0	0.8	3.1	11.0	61.4	51.9	48.1	38.6	92.7	1.2	81.1	6.4	0
839	5194675.0	2180359.0	2448383588.0	1785882224.0	945.326	689.533	3.0	36.6	34.0	35.3	11.9	0.4	6.2	24.8	61.6	51.6	48.4	38.4	90.2	10.6	55.4	9.6	0
840	274549.0	126647.0	1439267859.0	300755451.0	555.7040000000002	116.122	2.5	41.0	38.6	39.9	14.2	0.4	7.5	16.1	66.8	51.5	48.5	33.2	81.2	7.4	65.4	9.5	0
841	204214.0	98349.0	154894705.0	6880315.0	59.805	2.657	4.6	32.7	31.3	32.0	11.1	0.3	2.3	50.6	47.4	52.3	47.7	52.6	88.6	3.6	40.8	9.5	0
842	104169.0	44762.0	831754462.0	1074157.0	321.142	0.415	2.8	37.9	37.3	37.6	11.4	0.3	0.8	7.1	70.0	50.4	49.6	30.0	89.0	1.2	87.8	11.3	0
843	930450.0	315531.0	15431126407.0	137815999.0	5957.991	53.21100000000001	2.4	31.6	29.8	30.6	10.0	1.7	9.6	5.3	74.1	50.0	50.0	25.9	91.7	23.3	55.4	7.0	0
844	131500.0	55566.0	1625932680.0	13830886.0	627.776	5.34	2.7	36.2	32.2	33.9	13.1	1.1	2.0	10.5	64.6	48.7	51.3	35.4	88.2	6.4	77.1	13.0	0
845	548285.0	230535.0	1432510950.0	357753895.0	553.096	138.13	1.5	41.0	38.6	39.8	14.2	0.4	1.9	3.3	66.4	51.6	48.4	33.6	92.4	3.4	88.4	8.7	0
846	138494.0	63177.0	3222267856.0	185180068.0	1244.125	71.498	3.2	40.0	37.7	38.9	14.5	1.3	0.7	0.3	68.8	50.7	49.3	31.2	85.8	0.8	94.5	7.7	0
847	823318.0	281695.0	4773691889.0	945991626.0	1843.133	365.249	1.4	37.7	34.8	36.2	11.7	1.0	6.7	1.8	73.9	50.3	49.7	26.1	94.8	17.0	68.7	4.8	0
848	192768.0	82058.0	2754864273.0	79292408.0	1063.659	30.615	1.4	37.2	34.6	35.9	12.6	0.5	1.1	24.8	68.2	51.2	48.8	31.8	90.2	0.9	70.8	11.8	0
849	1493350.0	569985.0	2362201496.0	3784184893.0	912.051	1461.082	1.5	41.1	38.4	39.8	13.5	0.4	3.4	7.4	74.2	50.8	49.2	25.8	87.7	5.6	80.8	6.0	0
850	32856.0	23001.0	6637257545.0	1800019787.0	2562.66	694.992	4.3	47.0	45.2	46.1	19.6	4.9	0.5	0.4	61.9	50.7	49.3	38.1	62.2	0.4	92.1	9.3	0
851	1503085.0	612004.0	2118135038.0	75739760.0	817.817	29.243	1.3	39.8	37.1	38.5	13.1	0.2	9.3	4.7	63.1	51.4	48.6	36.9	94.9	3.3	80.0	5.7	0
852	1049025.0	400263.0	1854268836.0	227485306.0	715.937	87.833	2.1	39.7	37.1	38.5	12.4	0.6	14.4	9.3	70.7	51.2	48.8	29.3	93.8	10.7	58.6	6.8	0
853	255755.0	104821.0	1395398450.0	50038594.0	538.766	19.32	1.9	33.9	31.6	32.7	10.2	4.7	3.8	4.2	65.3	50.0	50.0	34.7	93.8	2.3	79.3	7.5	0
854	9818605.0	3445076.0	10509869649.0	1795012906.0	4057.884	693.058	1.7	35.9	33.6	34.8	10.9	0.7	13.7	8.7	67.7	50.7	49.3	32.3	94.1	21.8	50.3	5.8	0
855	3010232.0	1048907.0	2047561084.0	407916814.0	790.568	157.498	1.4	37.5	34.9	36.2	11.6	0.6	17.9	1.7	71.4	50.5	49.5	28.6	94.6	14.5	60.8	5.9	0
856	319294.0	176002.0	160343174.0	10683076.0	61.909	4.125	4.7	34.7	33.1	33.9	11.0	0.3	2.9	49.2	47.5	51.7	48.3	52.5	80.7	1.3	43.9	15.1	0
857	795225.0	325375.0	4324005310.0	354658008.0	1669.5079999999996	136.934	2.6	36.8	34.9	35.9	11.0	1.4	6.0	6.8	67.4	50.6	49.4	32.6	92.2	3.5	74.2	7.8	0
858	1223348.0	589201.0	1890884266.0	37418903.0	730.075	14.448	2.1	43.3	39.3	41.3	16.8	0.1	2.8	13.2	57.7	52.1	47.9	42.3	90.6	0.5	81.5	8.9	0
859	349497.0	142613.0	893975782.0	7960045.0	345.166	3.073	1.8	40.6	38.1	39.4	14.8	0.4	2.9	6.1	67.3	51.6	48.4	32.7	93.9	8.6	79.1	7.3	0
860	1714773.0	662872.0	3211119983.0	42127509.0	1239.82	16.266	1.9	34.2	31.5	32.8	10.3	0.8	2.4	7.5	68.4	51.0	49.0	31.6	91.9	12.7	72.9	9.6	0
861	278831.0	115064.0	2319591231.0	13211521.0	895.5989999999998	5.101	1.9	31.8	29.1	30.4	11.0	0.7	2.1	7.5	62.5	50.6	49.4	37.5	91.9	9.9	77.3	9.6	0
862	722023.0	315522.0	150618894.0	160748611.0	58.154	62.065	2.1	32.1	30.9	31.5	10.5	0.4	8.2	21.6	48.0	51.8	48.2	52.0	92.8	9.7	56.0	5.3	0
863	26839.0	12699.0	1095846454.0	2224025.0	423.109	0.8590000000000001	1.1	42.0	40.2	40.9	13.5	0.1	0.2	1.8	69.3	51.0	49.0	30.7	87.6	0.0	97.1	10.7	0
864	634266.0	270335.0	119634159.0	41755598.0	46.191	16.122	4.5	35.3	33.2	34.2	10.4	0.6	13.4	13.2	60.2	50.5	49.5	39.8	91.2	14.2	54.0	6.6	0
