mallid,mall,state,county,geoid
81,Bella Terra-Huntington Beach,Orange County,california,6059
82,Belle Hall Shopping Center,Charleston County,south carolina,45019
83,Bellevue Square,King County,washington,53033
84,Bellingham Shopping,Norfolk County,massachusetts,25021
85,Bellis Fair,Whatcom County,washington,53073
86,Belmar,Denver County,colorado,8031
87,Beltway Plaza Mall,District of Columbia,district of columbia,11001
88,Berkshire Mall,Calhoun County,south carolina,45017
89,Berkshire Mall,Berks County,pennsylvania,42011
90,Beverly Center,Los Angeles County,california,6037
91,Biltmore Fashion Park,Maricopa County,arizona,4013
92,Biltmore Park Town Square,Buncombe County,north carolina,37021
93,Biltmore Square Mall,Buncombe County,north carolina,37021
94,Birchwood Mall,St. Clair County,michigan,26147
95,Birkdale Village,Mecklenburg County,north carolina,37119
96,Blackhawk Plaza,Contra Costa County,california,6013
97,Bloomingdale Court,DuPage County,illinois,17043
98,Blue Back Square,Hartford County,connecticut,9003
99,Blue Oaks Town Center,Sacramento County,california,6067
100,Boise Towne Square,Ada County,idaho,16001
101,Bon Air Center,Washington County,maine,23029
102,Bonita Lakes Mall,Lauderdale County,mississippi,28075
103,Borgata of Scottsdale,Maricopa County,arizona,4013
104,Boulevard Mall,Erie County,new york,36029
105,Bowie Town Center,Anne Arundel County,maryland,24003
106,Boynton Beach Mall,Palm Beach County,florida,12099
107,Bradley Square Mall,Bradley County,tennessee,47011
108,Braelinn Village,Fulton County,georgia,13121
109,Brambleton Town Center,Cascade County,montana,30013
110,Branson Landing,Taney County,missouri,29213
111,Brass Mill Center & Commons,New Haven County,connecticut,9009
112,Brazos River Factory Stores,Parker County,texas,48367
113,Brea Downtown,Orange County,california,6059
114,Brea Mall,Orange County,california,6059
115,Briarwood Mall,Washtenaw County,michigan,26161
116,Bridge Street Town Centre,Madison County,alabama,1089
117,Bridgeport Village,Multnomah County,oregon,41051
118,Bridgewater Commons,Somerset County,new jersey,34035
119,Bridgewater Falls,Butler County,ohio,39017
120,Brier Creek Commons,Durham County,north carolina,37063
121,Bristol Mall,Bristol city,virginia,51520
122,Broadway at the Beach,Horry County,south carolina,45051
123,Broadway Mall,Nassau County,new york,36059
124,Broadway Plaza,Contra Costa County,california,6013
125,Broadway Square,Smith County,texas,48423
126,Brookdale Center,Baltimore city,maryland,24510
127,Brookfield Square,Waukesha County,wisconsin,55133
128,Brookwood Marketplace,Fulton County,georgia,13121
129,Brookwood Square,Windham County,vermont,50025
130,Brunswick Square,Middlesex County,new jersey,34023
131,Buckhead Crossing,Appomattox County,virginia,51011
132,Buena Park Downtown,Orange County,california,6059
