,county,usps
124,dakota county,minnesota
125,cache county,utah
128,clayton county,georgia
129,cherokee county,georgia
132,barnstable county,massachusetts
133,dauphin county,pennsylvania
134,cole county,missouri
135,santa cruz county,california
137,pacific county,washington
138,cabarrus county,north carolina
140,onondaga county,new york
141,marion county,tennessee
142,wake county,north carolina
143,skagit county,washington
145,marion county,indiana
146,marathon county,wisconsin
147,washington county,oregon
148,ventura county,california
149,kent county,michigan
150,sebastian county,arkansas
151,miller county,arkansas
152,fredericksburg city,virginia
155,allegheny county,pennsylvania
159,liberty county,montana
160,nobles county,minnesota
161,cumberland county,new jersey
164,hamilton county,indiana
165,schenectady county,new york
167,collier county,florida
168,monroe county,tennessee
169,seneca county,new york
170,lee county,florida
171,sonoma county,california
172,monroe county,indiana
173,hamblen county,tennessee
174,black hawk county,iowa
175,collin county,texas
176,jefferson county,alabama
178,tangipahoa parish,louisiana
180,passaic county,new jersey
181,albany county,new york
182,plymouth county,massachusetts
183,muskingum county,ohio
185,benton county,washington
186,boone county,missouri
187,richland county,south carolina
188,lexington county,south carolina
190,muscogee county,georgia
191,elkhart county,indiana
193,hall county,nebraska
194,rockdale county,georgia
195,williamson county,tennessee
198,johnson county,iowa
200,escambia county,florida
204,allegany county,maryland
206,yolo county,california
207,montgomery county,pennsylvania
209,kenton county,kentucky
210,st. louis county,missouri
211,lorain county,ohio
212,harris county,georgia
213,bronx county,new york
214,cumberland county,north carolina
217,adams county,north dakota
219,greenlee county,arizona
220,wyandotte county,kansas
221,beadle county,south dakota
222,new london county,connecticut
223,citrus county,florida
224,forsyth county,georgia
226,ward county,north dakota
227,pinal county,arizona
228,fairfield county,connecticut
229,currituck county,north carolina
230,bristol county,massachusetts
231,montgomery county,ohio
232,morgan county,alabama
235,cook county,illinois
241,camden county,new jersey
245,manatee county,florida
247,santa fe county,new mexico
248,rutland county,vermont
251,kent county,delaware
254,will county,illinois
257,st. louis city,missouri
258,jefferson county,pennsylvania
259,loudoun county,virginia
261,polk county,florida
263,lanier county,georgia
264,buchanan county,missouri
265,dane county,wisconsin
267,baldwin county,alabama
268,hampden county,massachusetts
269,clermont county,ohio
270,macomb county,michigan
271,franklin county,ohio
276,natrona county,wyoming
277,ontario county,new york
278,trumbull county,ohio
279,ingham county,michigan
280,harrison county,mississippi
281,pike county,mississippi
283,delaware county,ohio
286,providence county,rhode island
287,minnehaha county,south dakota
290,snohomish county,washington
291,chester county,pennsylvania
292,fairfax county,virginia
293,fairfax city,virginia
294,berks county,pennsylvania
295,wayne county,michigan
297,arlington county,virginia
298,fresno county,california
301,salt lake county,utah
302,clark county,nevada
303,saginaw county,michigan
305,fayette county,kentucky
307,montgomery county,maryland
308,charles county,maryland
311,hancock county,ohio
312,cayuga county,new york
313,rockwall county,texas
314,summit county,ohio
315,fort bend county,texas
316,grant county,indiana
317,coconino county,arizona
319,broomfield county,colorado
320,boone county,kentucky
321,bureau county,illinois
323,fond du lac county,wisconsin
324,winnebago county,illinois
325,jefferson county,ohio
327,guilford county,north carolina
328,outagamie county,wisconsin
329,rockingham county,new hampshire
330,frederick county,maryland
332,philadelphia county,pennsylvania
333,monmouth county,new jersey
336,laramie county,wyoming
337,etowah county,alabama
338,lake county,indiana
339,marion county,florida
340,gallatin county,montana
341,ramsey county,north dakota
342,orange county,new york
345,dallas county,texas
346,dekalb county,georgia
347,kent county,rhode island
349,lane county,oregon
351,genesee county,michigan
352,kane county,illinois
353,clarke county,georgia
354,allen county,indiana
356,amite county,mississippi
357,glynn county,georgia
358,newport news city,virginia
359,nash county,north carolina
360,denton county,texas
362,leon county,florida
363,montgomery county,tennessee
364,wood county,west virginia
365,new york county,new york
366,bonneville county,idaho
368,oakland county,michigan
374,weld county,colorado
375,queens county,new york
376,floyd county,indiana
378,chesapeake city,virginia
379,worcester county,massachusetts
381,pitt county,north carolina
383,warren county,kentucky
384,johnson county,indiana
386,starr county,texas
389,pasco county,florida
392,gwinnett county,georgia
395,atlantic county,new jersey
396,hamilton county,tennessee
398,hampshire county,massachusetts
399,forsyth county,north carolina
400,kings county,california
405,harford county,maryland
406,ramsey county,minnesota
408,greenville county,south carolina
409,benton county,oregon
410,davidson county,tennessee
411,sarasota county,florida
415,san mateo county,california
420,vigo county,indiana
421,garland county,arkansas
422,peach county,georgia
423,hudson county,new jersey
424,ulster county,new york
426,baltimore county,maryland
427,cabell county,west virginia
428,franklin county,pennsylvania
430,clinton county,new york
431,el paso county,colorado
432,kanawha county,west virginia
433,charlottesville city,virginia
434,chautauqua county,new york
437,portsmouth city,virginia
440,richmond city,virginia
442,new castle county,delaware
445,cumberland county,illinois
446,imperial county,california
447,jackson county,missouri
449,licking county,ohio
450,indian river county,florida
451,indiana county,pennsylvania
