category,rate,name,address,url,price_range
Kitchen & Bath,4.0 star rating,bed bathbeyond,,,$$
"Mexican,Tapas Bars",4.0 star rating,raspados tres marias,,,$$
"Caribbean,Breakfast & Brunch",4.0 star rating,footprints coastal decor,,,$$
"Department Stores,Men's Clothing,Women's Clothing",3.0 star rating,macys lifestyles,,,$$
"IT Services & Computer Repair,Web Design,Security Systems",5.0 star rating,snap man designs,,,
"Women's Clothing,Accessories",4.5 star rating,us tops,,,$$$
"Wine Bars,Mediterranean,Tapas/Small Plates",3.5 star rating,sterling optical - new location - upper level macys wing,,,$$
"Department Stores,Home Decor",4.0 star rating,parking deck,,,$$
"Massage Therapy,Reflexology",2.0 star rating,u-relax,,,
"Watches,Watch Repair",5.0 star rating,times ticking,,,$
"Bookstores,Coffee & Tea",4.5 star rating,j p childrens boutique,,,$$
Hobby Shops,3.0 star rating,gameplay,,,$$
Ice Cream & Frozen Yogurt,4.0 star rating,benjerrys,,,$
Pizza,4.0 star rating,davids cafe ii,,,$$
"Car Rental,Car Share Services",2.5 star rating,sporty car,,,
,,desert sun,,,
"Kitchen & Bath,Furniture Stores,Mattresses",2.5 star rating,chester county art association,,,$$
Bakeries,4.0 star rating,en avance,,,$$
"Cooking Schools,Caterers,Party & Event Planning",4.5 star rating,diva duck,,,
"Hair Removal,Eyelash Service",4.5 star rating,eyebrow arch,,,$
Apartments,1.0 star rating,oak creek,,,
"Trainers,Boot Camps",5.0 star rating,xtreme energy,,,
"Italian,Desserts,Diners",4.0 star rating,edibles incredibles,,,$$
Financial Advising,,raymond james financial,,,
"Festivals,Farmers Market",3.5 star rating,macys marketplace,,,$$
Sporting Goods,3.0 star rating,sports authority,,,$$
Luggage,4.0 star rating,luggage man,,,$$
,,chevron,,,
"Knitting Supplies,Arts & Crafts,Hobby Shops",4.5 star rating,kids destination,,,$$
"Jewelry,Jewelry Repair",4.0 star rating,devons jewelers,,,$$
"Fast Food,Chicken Wings",4.0 star rating,kfc,,,$
"Fashion,Jewelry",4.5 star rating,body jewelry heaven,,,$$
Vape Shops,4.5 star rating,bv nails,,,$$
Shoe Stores,3.5 star rating,payless,,,$
"Beer, Wine & Spirits",2.0 star rating,blue z,,,
Family Practice,2.5 star rating,macdonald eye care,,,
Apartments,3.5 star rating,north american banking co,,,
,,american classics,,,
"Grocery,Ethnic Food",4.5 star rating,strait to the pantry,,,$$
"Yoga,Dance Studios,Acupuncture",4.5 star rating,all star dance studio,,,
Shopping Centers,2.0 star rating,the venetian carousel,,,$$
"Seafood,Chinese",3.5 star rating,zhu hai restaurant,,,$$
Radiologists,2.0 star rating,3t pro it services,,,
"Department Stores,Men's Clothing,Women's Clothing",3.0 star rating,js formalwear,,,$$
"Mexican,Tex-Mex",3.5 star rating,mesa verde trading ,,,$
Personal Shopping,5.0 star rating,closet fashion,,,$$
"Dim Sum,Seafood",4.0 star rating,red palace restaurant,,,$$
Financial Services,5.0 star rating,gm world,,,
,,isis bridal,,,
Employment Agencies,3.0 star rating,bachrachs,,,
"Yoga,Dance Studios,Acupuncture",4.5 star rating,i smile studios,,,
"Bakeries,American (Traditional),Desserts",4.0 star rating,luv 4 coffee,,,$$
Auto Repair,3.5 star rating,ll; designs,,,
"Women's Clothing,Men's Clothing,Children's Clothing",4.0 star rating,2020 fashion,,,$$
Dry Cleaning & Laundry,3.0 star rating,laundry factory,,,$$
"Bakeries,American (Traditional),Desserts",4.0 star rating,vivian liu m d ,,,$$
Caterers,,japan cafe,,,
"Diners,Coffee & Tea,Mexican",3.5 star rating,la parilla mexican,,,$
,,endless perfume,,,
"Breakfast & Brunch,Belgian,Bars",4.0 star rating,abracadabra ii,,,$$
"Health & Medical,Massage",5.0 star rating,spectrum,,,$$
"Day Spas,Skin Care,Reflexology",4.0 star rating,eyebrow miracle,,,$$$
"Home Decor,Jewelry",4.5 star rating,just pearls,,,$$$
Performing Arts,4.0 star rating,kiss theatre,,,
Ramen,4.0 star rating,pacific paws doggie spa,,,$$
Italian,3.5 star rating,spiaggia,,,$$
Burgers,,crazy cow,,,
"Nail Salons,Hair Salons,Skin Care",4.5 star rating,ego trip salon,,,$$
Doctors,,anne moore,,,
"Fast Food,Burgers",3.5 star rating,wendys restaurant,,,$
"Jewelry,Antiques",4.5 star rating,fashion island jewelers,,,$$
"Eyewear & Opticians,Optometrists",4.5 star rating,specs optical,,,$$
Men's Clothing,3.0 star rating,britches,,,$$
Coffee & Tea,3.5 star rating,cafe perk,,,$
Gyms,,performax gyms,,,
"Massage,Acupuncture",4.0 star rating,s n y dental,,,$$
"Photographers,Video/Film Production,Photography Stores & Services",,platinum portraits,,,
"Women's Clothing,Men's Clothing",4.5 star rating,prive lingerie,,,$$
"Framing,Session Photography,Graphic Design",5.0 star rating,image arts,,,
Antiques,4.5 star rating,st louis jewelry,,,$$
Italian,3.0 star rating,piazza di giorgio,,,$$$
Bakeries,,great cookie company,,,
"Mobile Phones,Computers,IT Services & Computer Repair",3.5 star rating,impact wireless,,,$$$
"Women's Clothing,Jewelry",4.5 star rating,ck jewelry,,,$$
Cinema,2.0 star rating,capital 8 theatres,,,
Cosmetics & Beauty Supply,4.0 star rating,bare minerals by bare escentuals,,,$$
"Bars,Florists,Music Venues",4.0 star rating,lite up nlive,,,$$
Ramen,4.0 star rating,k norris jeweler,,,$$
Hobby Shops,4.5 star rating,hobbytown usa,,,$$
Leather Goods,,leather plus,,,
"Dim Sum,Cantonese",3.5 star rating,bamboo garden,,,$$
"Acupuncture,Massage,Day Spas",4.5 star rating,changs massage,,,$$
Italian,3.0 star rating,oggis pizza,,,$$
"Used, Vintage & Consignment",4.5 star rating,glory formal,,,$$
Toy Stores,2.0 star rating,toys-r-us,,,$$
Doctors,,hishers,,,
"Jewelry,Watch Repair,Watches",4.0 star rating,wired up buckle down,,,$$$$
"Lounges,American (Traditional)",4.0 star rating,chocolot,,,$$$
"Toy Stores,Comic Books,Bookstores",4.0 star rating,epic adventure games,,,$$
"Medical Centers,Urgent Care,Doctors",3.5 star rating,consumer testing laboratories,,,
Latin American,4.0 star rating,dona arepa,,,$$
"Jewelry Repair,Watch Repair",2.0 star rating,fast-fix jewelry repairs,,,
"Summer Camps,Preschools,Party & Event Planning",4.0 star rating,guest services center,,,
Vegan,3.5 star rating,bliss,,,$$
"Sports Wear,Accessories",3.5 star rating,oakley store,,,$$$
"Vietnamese,Coffee & Tea,Internet Cafes",4.0 star rating,boba blends,,,$
"Organic Stores,Grocery",2.5 star rating,kahala associates,,,$$
Candy Stores,,king snacks,,,
Sushi Bars,4.0 star rating,us sushi,,,$$$
,,lubi,,,
"American (New),Southern,Breakfast & Brunch",4.0 star rating,coopers hawk,,,$$
,,golf usa,,,
Sports Wear,,sneakerking,,,
"Korean,Bakeries",2.5 star rating,anderson bakery,,,$
Pizza,4.0 star rating,charleston creamery,,,$$
Women's Clothing,4.0 star rating,fashion island,,,
Sports Bars,2.5 star rating,howl at the moon,,,$
"Bars,American (Traditional)",3.5 star rating,valdemar travel,,,$$
"Shoe Stores,Men's Clothing,Women's Clothing",2.5 star rating,skechers,,,$$
"Nail Salons,Massage,Hair Removal",4.0 star rating,nail bar,,,$$
"Bespoke Clothing,Formal Wear",4.5 star rating,kings formalwear,,,$$$
Hair Stylists,1.0 star rating,shear performance,,,
"Grocery,Cheese Shops,Sandwiches",4.5 star rating,crystal produce,,,$$
"Medical Spas,Massage,Acupuncture",4.0 star rating,precious stone,,,$
Bookstores,3.0 star rating,gallery 21,,,
Japanese,4.5 star rating,murasaki home furnishings,,,$$$$
"Trainers,Weight Loss Centers",,citalis,,,
"Women's Clothing,Men's Clothing,Used, Vintage & Consignment",,the collections,,,
"Bagels,Delis,Sandwiches",4.0 star rating,club sandwich,,,$$
"Parks,Skating Rinks",4.0 star rating,kiddie rides east ,,,
Ice Cream & Frozen Yogurt,4.5 star rating,custard crossing,,,$$
Sushi Bars,4.0 star rating,hiros japanese cuisine,,,$$$
Tours,3.0 star rating,just ducky tours,,,
Hobby Shops,3.5 star rating,game central,,,$$$
"Vegetarian,Middle Eastern",4.0 star rating,good 2 go,,,$
"Sports Wear,Men's Clothing,Women's Clothing",4.0 star rating,j bees,,,$$$
Cocktail Bars,4.0 star rating,dunhams discount sports,,,$$
Bars,4.0 star rating,tomfooleries rest bar,,,$
"Optometrists,Eyewear & Opticians",3.5 star rating,invision optics,,,$$$
"Pizza,Italian",4.5 star rating,oakdale pizza,,,$
Dry Cleaning & Laundry,1.5 star rating,vanity fair,,,$$
"Pet Boarding/Pet Sitting,Dog Walkers",3.5 star rating,petspals,,,
"Mexican,Korean,Barbeque",4.0 star rating,pops garage taco bar,,,$
Jewelry,4.0 star rating,keepsake diamonds,,,$$$$
"Ethnic Food,Grocery",4.5 star rating,rainbow fruits,,,$
"Jewelry,Pawn Shops,Watches",5.0 star rating,kevins jewelers,,,$
"Medical Spas,Medical Centers,Naturopathic/Holistic",5.0 star rating,southwest acupuncture,,,$$$
"Kitchen & Bath,Furniture Stores,Mattresses",2.5 star rating,american factory direct,,,$$
"Pizza,Italian",4.0 star rating,rosa pizza,,,$
Art Supplies,4.5 star rating,village art supply,,,$
,,customer service,,,
Toy Stores,4.0 star rating,too cool bear factory,,,$$
"Bars,American (Traditional)",3.5 star rating,raffertys,,,$$
Yelp Events,5.0 star rating,club fit,,,
Mobile Phones,3.5 star rating,cingulart-mobile,,,$$
"Antiques,Used, Vintage & Consignment,Music & DVDs",3.0 star rating,silver parrott,,,$$
"Italian,Cafes",3.5 star rating,toscanis express,,,$$
"Hair Salons,Skin Care",4.0 star rating,loran loran colorspa,,,$$
"Ethnic Food,Grocery",4.5 star rating,basic foods snack stop ,,,$
"Pizza,Italian",4.0 star rating,ledos pizza,,,$$
"Jewelry,Accessories,Women's Clothing",4.0 star rating,g stage,,,$$
"Grocery,Health Markets",3.5 star rating,my fit foods,,,$
Hair Salons,4.0 star rating,blonde,,,$$
"Shopping,Television Stations",3.5 star rating,dunder mifflin store,,,$$
"Real Estate Agents,Real Estate Services",5.0 star rating,texas capital bank,,,
"Tires,Auto Repair,Towing",5.0 star rating,all tunelube,,,
"Cards & Stationery,Accessories,Toy Stores",4.0 star rating,far east etc ,,,$$
"Food Stands,Middle Eastern,Halal",4.5 star rating,sunnyvale imaging ctr ,,,$
Movers,3.5 star rating,classic settlements inc ,,,
"Painters,Roofing",,frs,,,
"Photography Stores & Services,Video/Film Production",5.0 star rating,precious image,,,$$
"Nail Salons,Cosmetics & Beauty Supply",4.0 star rating,sit back massage chair,,,$$
