new_id,old_id,mall,name,usps,geoid,INTPTLAT,INTPTLONG,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,Homeowner_vacancy_rate_percent,Median_Age_Female,Median_Age_Male,Median_Age,Percent_65_years_and_over,Percent_American_Indian_and_Alaska_Native,Percent_Asian,Percent_Black_or_African_American,Percent_Family_households,Percent_Female,Percent_Male,Percent_Nonfamily_households,Percent_Occupied_housing_units,Percent_Some_Other_Race,Percent_White,Rental_vacancy_rate_percent
26,475,Holyoke Mall at Ingleside,Hampden County,massachusetts,25013,42.136198,-72.635648,463490,192175,1598385896,44316925,617.14,17.111,1.5,40,36.8,38.6,14.2,0.4,2,9,64.4,52,48,35.6,93.6,9.2,76.5,6,"women's shoes:1,clothing:22,men's clothing:1,jewelry:4,nutritional supplements:2,sports clothing:1,headwear:1,consumer electronics:2,beauty products:2,children's apparel:3,men's gifts:1,plus size clothing:1,personalized gifts:1,telecommunication:3,video games:1,footwear:1,department store:1,stuffed animals:1,shoes:3,makeup:1,women's clothing:5,maternity clothing:1,coffee:1,children's clothing:1,eyewear:2,hair care:1,restaurant:6, clothing:1,furniture:2,candles:1,cookies:1"
27,688,Meyerland Plaza,Fort Bend County,texas,48157,29.526602,-95.771015,585375,197030,2231225129,61796736,861.481,23.86,1.8,35.8,33.9,35,7.3,0.4,17,21.5,82.1,50.9,49.1,17.9,95.1,7.6,50.6,7.1,"girl's clothing:1,maternity clothing:1,clothing:4,men's clothing:1,coffee:1,women's clothing:1,consumer electronics:1,beauty products:2,department store:1,nutritional supplements:1,children's clothing:1,home furnishings:2,restaurant:1,furniture:1,footwear:1"
28,512,Imperial Valley Mall,Imperial County,california,6025,33.040816,-115.355395,174528,56067,10817352524,790247942,4176.603,305.116,3.5,33.2,31,31.9,10.4,1.8,1.6,3.3,79.7,48.6,51.4,20.3,87.6,30,58.8,7.5,"women's shoes:1,clothing:12,jewelry:4,sports clothing:1,headwear:1,beauty products:1,children's apparel:1,nutritional supplements:1,personalized gifts:1,telecommunication:1,cookies:1, clothing:2,girl's clothing:1,shoes:1,women's clothing:3,women's jewelry:1,maternity clothing:1,children's clothing:1,eyewear:1,hair care:1,restaurant:2,footwear:2, beauty products:1,perfume:1"
29,1043,Statesboro Mall,Bulloch County,georgia,13031,32.393408,-81.74381,70217,28794,1742568254,40963315,672.809,15.816,2.6,27.2,25,25.9,9.1,0.3,1.5,27.6,57.8,50.1,49.9,42.2,88.8,1.7,67.2,11.4,"footwear:1,nutritional supplements:1,clothing:3,children's clothing:1,coffee:1,women's clothing:2,sporting goods:1,jewelry:1,beauty products:1"
30,1148,The Mall at Whitney Field,Middlesex County,massachusetts,25017,42.479477,-71.396507,1503085,612004,2118135038,75739760,817.817,29.243,1.3,39.8,37.1,38.5,13.1,0.2,9.3,4.7,63.1,51.4,48.6,36.9,94.9,3.3,80,5.7,"jewelry:3,clothing:11,shoes:1,men's clothing:1,women's clothing:1,eyewear:1,women's jewelry:1,consumer electronics:1,beauty products:1,nutritional supplements:1,children's clothing:1,personalized gifts:1,hair care:1,restaurant:2,candles:1,footwear:2"
31,1208,The Shops at Pembroke Gardens,Broward County,florida,12011,26.19352,-80.476658,1748066,810388,3133329108,292869341,1209.785,113.077,3.3,40.7,38.5,39.7,14.3,0.3,3.2,26.7,63.3,51.6,48.4,36.7,84.7,3.7,63.1,10.7,"jewelry:1,clothing:5,books and digital media:1,men's clothing:1,women's clothing:6,sports clothing:1,women's jewelry:1,beauty products:2,coffee:1, accessories:1,eyewear:1,women's shoes:1,telecommunication:1,denim:1,candles:1"
32,440,Gulf Coast Town Center,Lee County,florida,12071,26.552134,-81.89225,618754,371099,2031879249,1108380339,784.513,427.948,6.6,46.9,44.2,45.6,23.5,0.4,1.4,8.3,65.8,50.9,49.1,34.2,70,4.9,83,17.2,"girl's clothing:1,jewelry:1,clothing:4,shoes:1,men's clothing:1,sports clothing:1,women's jewelry:1,ice cream:1,consumer electronics:1,beauty products:1,maternity clothing:1,hair care:1,plus size clothing:1,eyewear:1,home furnishings:1,restaurant:3,telecommunication:2,sporting goods:1,footwear:2"
33,1133,The Mall at Johnson City,Washington County,tennessee,47179,36.295665,-82.495037,122979,57254,845539916,8632655,326.465,3.333,3,40.1,38.5,39.3,15.3,0.3,1.2,3.9,63,51.1,48.9,37,89.6,1.2,91.6,9.3,"jewelry:5,clothing:11,men's clothing:1,headwear:1,beauty products:2,children's apparel:2,nutritional supplements:1,personalized gifts:1, clothing:1,girl's clothing:1,women's clothing:3,sports apparel:1,cellular accessories:1,women's jewelry:1,maternity clothing:1,photography:2,eyewear:2,restaurant:1,footwear:3,sporting goods:1,candles:1,cookies:1"
34,671,Melbourne Square,Brevard County,florida,12009,28.298275,-80.700384,543376,269864,2630557912,1402040884,1015.664,541.331,3.7,46.7,44.2,45.5,20.4,0.4,2.1,10.1,64.6,51,49,35.4,85.1,1.7,83,14.4,"jewelry:5,clothing:9,consumer electronics:1,beauty products:2,women's handbags:1,nutritional supplements:1, clothing:1,personalized gifts:1,telecommunication:2,video games:1,footwear:3,children's clothing:1,shoes:1,women's clothing:2,sports apparel:1,cellular accessories:1,coffee:1,guest services:1,eyewear:1,hair care:2,restaurant:3,cookies:1,sporting goods:1,perfume:1"
35,662,Mayfair,Waukesha County,wisconsin,55133,43.019308,-88.306707,389891,160864,1423388982,80346783,549.574,31.022,1.4,43,40.8,42,14.3,0.3,2.7,1.3,71.3,50.9,49.1,28.7,94.9,1,93.3,6.9,"women's shoes:2,clothing:15,men's clothing:2,jewelry:4,nutritional supplements:1,headwear:1,consumer electronics:1,beauty products:1,children's apparel:2,men's gifts:1,plus size clothing:1,personalized gifts:1,books and digital media:1,telecommunication:2,footwear:1,girl's clothing:1,stuffed animals:1,shoes:1,women's clothing:3,cellular accessories:1,candles:1,chocolates:2,eyewear:2,hair care:2,restaurant:7, clothing:1,children's footwear:1,furniture:2, beauty products:1"
36,360,Flagstaff Mall,Coconino County,arizona,4005,35.829692,-111.773728,134421,63321,48222689085,109964090,18618.885,42.457,2.9,31.4,30.6,31,8.9,27.3,1.4,1.2,63.5,50.4,49.6,36.5,73.8,5.2,61.7,6.5,"women's shoes:1,clothing:12,jewelry:3,sports clothing:1,mattress:1,skincare:1,consumer electronics:1,beauty products:1,nutritional supplements:1,plus size clothing:1,telecommunication:2, clothing:2,shoes:1,women's clothing:2,cellular accessories:1,women's jewelry:1,maternity clothing:1,eyewear:1,hair care:1,restaurant:3,footwear:2, beauty products:1"
37,300,Eastern Hills Mall,Erie County,new york,36029,42.752759,-78.778192,919040,419974,2700563452,476973805,1042.693,184.161,1.2,42.1,38.5,40.4,15.7,0.6,2.6,13.5,60,51.8,48.2,40,91.2,1.5,80,8.5,"jewelry:2,clothing:10,women's clothing:2,sports clothing:1,personalized gifts:1,beauty products:1,footwear:1,nutritional supplements:2,photography:1, clothing:1,eyewear:2,hair care:2,restaurant:1,diamonds:1,telecommunication:2,cookies:1"
38,1401,Westfield San Francisco Centre,San Mateo County,california,6081,37.414664,-122.371542,718451,271031,1161371825,757704380,448.408,292.551,1.3,40.5,37.9,39.3,13.4,0.5,24.8,2.8,68.1,50.8,49.2,31.9,95.1,11.8,53.4,4.6,"women's shoes:2,clothing:12,jewelry:2,headwear:1,beauty products:1,children's apparel:1,fasion wholesale:1, accessories:1,telecommunication:1,footwear:1,women's handbags:1,shoes:2,makeup:1,sports apparel:1,women's clothing:5,coffee:1,clothing & shoes:1,chocolates:1,eyewear:1,men's gifts:1,restaurant:3, clothing:1,denim:1,cookies:1"
39,78,Beachwood Place,Geauga County,ohio,39055,41.499322,-81.173505,93389,36574,1036420180,21054534,400.164,8.129,2.1,44.1,42.2,43.3,15.5,0.1,0.6,1.3,74.9,50.8,49.2,25.1,93.7,0.3,96.9,8.2,"women's shoes:1,clothing:9,jewelry:2,beauty products:2,women's handbags:1,nutritional supplements:1, accessories:1,personalized gifts:1,telecommunication:1,footwear:1,girl's clothing:1,makeup:1,women's clothing:3,women's jewelry:1,denim:1,chocolates:1,eyewear:1,fasion wholesale:1,restaurant:5, clothing:1,furniture:1,candles:1"
40,628,Madison Square,Madison County,alabama,1089,34.764238,-86.55108,334811,146447,2076116529,28771340,801.593,11.109,2.4,38.6,35.8,37.3,12.2,0.8,2.5,24,66.2,50.9,49.1,33.8,92,2,68.2,10.1,"jewelry:3,clothing:11,men's clothing:1,women's shoes:1,headwear:1,beauty products:1,children's apparel:1,nutritional supplements:2,telecommunication:2,girl's clothing:1,shoes:1,women's clothing:2,cellular accessories:1,women's jewelry:1,maternity clothing:1,children's clothing:1,eyewear:3,hair care:1,restaurant:3,sporting goods:1, beauty products:1,cookies:1"
41,175,Circle Centre,Marion County,indiana,18097,39.782976,-86.135794,903393,417862,1026408097,17377675,396.298,6.71,3.3,35,32.8,33.9,10.6,0.3,2,26.7,59.6,51.8,48.2,40.4,87.6,5.4,62.7,12.5,"women's shoes:1,clothing:12,shoes:2,women's clothing:6,nutritional supplements:1,eyewear:1,headwear:1,beauty products:1,women's handbags:1,fasion wholesale:1,jewelry:1,children's clothing:1,chocolates:1,personalized gifts:1,men's gifts:1,restaurant:10,guest services:1,candles:1,footwear:2"
