,mallid,mall,county,usps,geoid,INTPTLAT,INTPTLONG,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,Homeowner_vacancy_rate_percent,Median_Age_Female,Median_Age_Male,Median_Age,Percent_65_years_and_over,Percent_American_Indian_and_Alaska_Native,Percent_Asian,Percent_Black_or_African_American,Percent_Family_households,Percent_Female,Percent_Male,Percent_Nonfamily_households,Percent_Occupied_housing_units,Percent_Some_Other_Race,Percent_White,Rental_vacancy_rate_percent, accessories,beauty products,books and digital media,candles,cellular accessories,children's apparel,children's clothing,children's footwear,chocolates,clothing,clothing & shoes,coffee,consumer electronics,cookies,denim,department store,diamonds,disney,eyewear,fasion wholesale,footwear,furniture,girl's clothing,guest services,hair care,headwear,home furnishings,ice cream,jewelry,makeup,maternity clothing,mattress,men's clothing,men's gifts,nutritional supplements,perfume,personalized gifts,photography,plus size clothing,restaurant,shoes,skincare,sporting goods,sports apparel,sports clothing,stuffed animals,telecommunication,video games,women's clothing,women's handbags,women's jewelry,women's shoes,new_id
493,498,cherryvale mall,Boone County,illinois,17007,42.318983,-88.82429499999999,54165,19970,727059777,3380831,280.719,1.305,3.4,37.5,36.0,36.8,11.7,0.4,1.3,2.0,77.1,50.0,50.0,22.9,92.7,9.3,84.4,7.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,5.0,0.0,1.0,1.0,493
494,499,chesapeake center,Portsmouth city,virginia,51740,36.859429999999996,-76.356269,95535,40806,87159966,33876240,33.653,13.08,3.4,37.9,33.7,35.7,13.2,0.4,1.1,53.3,64.3,51.9,48.1,35.7,91.5,1.0,41.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,494
495,500,chesapeake square,Portsmouth city,virginia,51740,36.859429999999996,-76.356269,95535,40806,87159966,33876240,33.653,13.08,3.4,37.9,33.7,35.7,13.2,0.4,1.1,53.3,64.3,51.9,48.1,35.7,91.5,1.0,41.6,8.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,495
496,501,chesterfield mall,St. Louis County,missouri,29189,38.640702000000005,-90.445954,998954,438032,1315195242,39414600,507.8,15.218,2.3,41.6,37.9,39.9,15.0,0.2,3.5,23.3,65.1,52.7,47.3,34.9,92.4,0.9,70.3,10.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,2.0,2.0,496
497,502,chesterfield towne center,Richmond city,virginia,51760,37.531399,-77.47600899999999,204214,98349,154894705,6880315,59.805,2.657,4.6,32.7,31.3,32.0,11.1,0.3,2.3,50.6,47.4,52.3,47.7,52.6,88.6,3.6,40.8,9.5,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,497
498,503,chico mall,Butte County,california,6007,39.665959,-121.601919,220000,95835,4238423238,105325758,1636.464,40.667,2.4,39.3,35.2,37.2,15.4,2.0,4.1,1.6,60.0,50.5,49.5,40.0,91.4,5.5,81.9,6.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,498
499,504,chico mall,Butte County,california,6007,39.665959,-121.601919,220000,95835,4238423238,105325758,1636.464,40.667,2.4,39.3,35.2,37.2,15.4,2.0,4.1,1.6,60.0,50.5,49.5,40.0,91.4,5.5,81.9,6.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,499
500,505,chino spectrum marketplace,Orange County,california,6059,33.675686999999996,-117.777207,3010232,1048907,2047561084,407916814,790.568,157.498,1.4,37.5,34.9,36.2,11.6,0.6,17.9,1.7,71.4,50.5,49.5,28.6,94.6,14.5,60.8,5.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
501,506,christiana mall,New Castle County,delaware,10003,39.575915,-75.644132,538479,217511,1104074798,175385759,426.286,67.717,1.7,38.6,35.7,37.2,12.3,0.3,4.3,23.7,66.5,51.6,48.4,33.5,93.2,3.5,65.5,9.9,1.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0,1.0,1.0,3.0,501
502,507,christown spectrum mall,Maricopa County,arizona,4013,33.346540999999995,-112.495534,3817117,1639279,23828260196,62795719,9200.143,24.246,4.1,35.7,33.5,34.6,12.1,2.1,3.5,5.0,66.1,50.5,49.5,33.9,86.1,12.8,73.0,13.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502
503,508,chula vista center,San Diego County,california,6073,33.023604,-116.776117,3095313,1164786,10895120648,826347909,4206.63,319.055,1.9,36.1,33.2,34.6,11.4,0.9,10.9,5.1,66.3,49.8,50.2,33.7,93.3,13.6,64.0,5.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,503
504,509,chula vista center,San Diego County,california,6073,33.023604,-116.776117,3095313,1164786,10895120648,826347909,4206.63,319.055,1.9,36.1,33.2,34.6,11.4,0.9,10.9,5.1,66.3,49.8,50.2,33.7,93.3,13.6,64.0,5.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,504
