category,rate,name,address,url,price_range
"Trainers,Gyms",5.0 star rating,fitness formula,,,
"Optometrists,Eyewear & Opticians",4.5 star rating,tran fashion,,,$$$
Burgers,3.5 star rating,the smokehouse,,,$
American (New),4.5 star rating,silver diner,,,$$$$
"Yoga,Massage,Pilates",4.5 star rating,tai chi massage,,,$$
"Coffee & Tea,Cafes",4.0 star rating,buckhead saloon,,,$
Bridal,5.0 star rating,nikkis bridal,,,$$$
Thai,3.5 star rating,kuhns deli,,,$
"Churches,Community Service/Non-Profit",4.5 star rating,share your blessings,,,
Sushi Bars,3.5 star rating,toku,,,$$$
"Chiropractors,Physical Therapy",4.5 star rating,east bay physical therapy,,,
"Music & DVDs,Bookstores",4.5 star rating,capital city news,,,$
"Hotels,Venues & Event Spaces",3.5 star rating,auntie annes pretzels upper level near macys ,,,$$$
"Career Counseling,Employment Agencies",4.5 star rating,activate,,,
Art Schools,5.0 star rating,exte,,,
Chinese,3.0 star rating,peking restaurant,,,$
"Hair Salons,Day Spas",5.0 star rating,casualn chic,,,$$
"Jewelry,Watches,Jewelry Repair",4.0 star rating,john ts unique gifts,,,$$
"Beer, Wine & Spirits",4.5 star rating,time out corner store,,,$$
Coffee & Tea,4.0 star rating,nordstroms in house cafe and coffee bar,,,$$
Massage Therapy,,just relax,,,
Playgrounds,4.5 star rating,newark area fencing club,,,
"American (Traditional),Breakfast & Brunch,Cafes",4.0 star rating,country cookin,,,$$
"Sports Bars,Lounges,Music Venues",4.5 star rating,sports bar,,,$
"Local Flavor,Active Life",4.5 star rating,guitar store and rock nroll apparel,,,
"American (New),Bars",4.0 star rating,the pearl bistro and bar,,,$$$$
Food Court,,green leafs,,,
Property Management,4.5 star rating,allison james real estate,,,
Arts & Crafts,2.5 star rating,joann fabrics,,,$$
"Cards & Stationery,Children's Clothing",4.5 star rating,right bank babies,,,$$
"Museums,Venues & Event Spaces,Tours",4.5 star rating,iowa childrens museum ,,,
Chocolatiers & Shops,4.5 star rating,bills bees,,,$$$
Parks,4.5 star rating,carousel - hq entertainment,,,
IT Services & Computer Repair,,isupply,,,
Mobile Phones,4.0 star rating,us cellular,,,$$
"Home Decor,Furniture Stores,Beer, Wine & Spirits",4.5 star rating,davis furniture,,,$$
Shared Office Spaces,4.5 star rating,wireless square,,,
"Vietnamese,Sandwiches",4.5 star rating,east west connection,,,$
Pizza,3.0 star rating,stephanos pizza,,,$$
"Desserts,American (Traditional)",3.0 star rating,hibachi cajun express,,,$$
"Bakeries,Candy Stores",4.5 star rating,cornerstone bakery,,,$
"Lawyers,Real Estate Services",4.5 star rating,first commonwealth bank,,,
