store_name,store_new_id
corn dog 7,673
cubby caboose,674
dead sea products,675
decibel,676
deja view,677
el rodeo,678
body art,679
eyemaster,680
famous wok,681
fashion boutique,682
fashion in style,683
fashion world,684
gold hut,685
gold time,686
gordons jewelry,687
its fashion,688
jewelry palace,689
karats,690
kostallas,691
lagniappe theater,692
leather shop,693
ny burgerssteaks,694
pacsun,695
perfume gifts,696
perfume plaza,697
rite aid,698
shaans,699
slinkees,700
source clothing,701
sports n more,702
stage,703
suddenlink,704
the avenue,705
watch hut,706
weissgold ring,707
wireless phones,708
xpression,709
archivers,710
biaggis,711
bonefish grill,712
carters,713
cbs outdoors,714
cool cuts 4 kids,715
dicks sporting goods,716
discovery,717
dsw,718
gordmans,719
hot mama,720
houlihans,721
cheeseburgerparadise,722
chicago home fitness,723
kids bunksbeds,724
on the border,725
petsmart,726
shoelace inc,727
st rogers abbey,728
sylvan learning,729
the gourmet kernel,730
thirsty whale,731
venetian nail,732
vino 100,733
almaden musicdance,734
almaden plaza dental care,735
ana furniture,736
apple one employment,737
baskin robbins,738
buybuy baby,739
costco,740
creative hairdressers,741
diddams party store,742
five guy,743
fresh choice,744
happi house,745
house of bagels,746
chase,747
chevys mexican,748
inspa,749
kb fitness,750
majestic beauty supply,751
metlife home loan,752
national first credit,753
omaha steaks,754
orange leaf,755
real produce,756
red lobster,757
style for less,758
tj maxxn more,759
tandoori bistro,760
tillys,761
tuesday morning,762
us recruiting air force,763
us recruiting army,764
us recruiting marines,765
us recruiting navy,766
viva nail salon,767
wingstop,768
work world,769
3 d games,770
air grafix,771
all shoes 9 99,772
belts of the world,773
bigg city,774
cellular zone,775
cosmetic cove,776
creative consumer rsrch,777
cricket,778
err,779
exclusive furniture,780
geovanni clothing,781
gizzmos,782
glitters,783
golddiamond,784
image,785
kaleidoscoop,786
kfc,787
lady world,788
lollipops,789
magic shots,790
mero,791
oro italiano,792
oro perfumania,793
palais royal,794
pcx,795
piccadilly cafeteria,796
rainbow,797
rainbow pluskids,798
sams burgersgyro,799
sesame hut,800
shoe envy,801
star shots,802
thirstys,803
toyz,804
underground station,805
uniforms n more,806
vibrations,807
villa pizza,808
visible changes,809
a t hula,810
aloha candles,811
aloha sushi,812
aloha tower jewelry,813
aloha tower sundries,814
anns fashion,815
at hula,816
bikini cantina,817
casa mia pizzeria,818
ceci,819
coverdat accessories,820
crazy fish,821
daniella,822
don hos island grill,823
elite massage academy,824
elite pacific properties,825
gordon biersch,826
hawaii athletic club,827
hawaiian collection,828
hawaiian ukulele,829
hibiscus collection,830
nail bar,831
chais island bistro,832
imperial gallery,833
island art galleries,834
island casual,835
island fashions,836
island oasis,837
island vintage coffee,838
kabuto,839
les montres,840
lotus healthliving,841
mag neat o,842
maiden hawaii,843
makino chaya,844
melrose,845
millennium,846
nicky shoe company,847
olivias euro collection,848
pacific cabana,849
precious boutique,850
rainbow hawaiian souvenir,851
red bamboo,852
sayumis princess garden,853
star apparel,854
star of honolulu office,855
sweet memory chocolates,856
the aloha lounge,857
the waterfront,858
try my dogs,859
gold buyer,860
baby gap,861
bahama breeze,862
bakers,863
barnies coffee,864
beya,865
club bff,866
cops center,867
dollar mania,868
dq,869
elegant accents,870
express men,871
extreme styles,872
fast fix jewelry repair,873
g by guess,874
hm,875
hovan gourmet,876
chao cajun,877
charlotte russe,878
in touch wireless,879
ink spot,880
ispice,881
jerie anns hallmark,882
magnific fine jewelry,883
maki of japan,884
mandarin express,885
max rave,886
mayors jewelry,887
mcdonald,888
nail spa,889
oceanology,890
oriental health massage,891
orlando ale house,892
paris nails,893
perfumania,894
pinocchios puppet thtre,895
professional shoe repair,896
quick test,897
seasons 52,898
sketchers,899
sol,900
solstice,901
taco bell,902
the prom store,903
traffic,904
urban wear,905
write in style,906
yobelle,907
zori store,908
amarillo texs steakhouse,909
crown vision center,910
family christian store,911
famous footwear,912
fungames arcade,913
gold stop,914
hickory farms,915
china gate,916
christian science,917
jw s plain ole kitchen,918
jackson hewittt tax svcs,919
kirlins hallmark,920
olgas kitchen,921
radio shack wireless,922
savvi formal wear,923
spirit halloween,924
the cookie factory bakery,925
us postal service,926
yeti wireless,927
aliceolivia,928
anne fontaine,929
brooks brothers,930
cipollini pronto cafe,931
concierge store,932
david yurman,933
donna karan,934
ermenegildo zegna,935
estee lauder,936
etro,937
hirshleifers,938
hirshleifers etc,939
hirshleifers shoe salon,940
hsbc,941
ch carolina herrera,942
chanel,943
chrome hearts,944
intermix,945
j mendel,946
leggiadro,947
london jewelry,948
london jewelry watch,949
loro piana,950
malandrino,951
martin viette,952
maxmara,953
morgenthal frederics,954
oscar de la renta,955
prada,956
sneakerology,957
spring flowers,958
theory,959
toku,960
van cleefarpels,961
versace,962
vilebrequin,963
vince,964
albertsons,965
amerige cleaners,966
beecrazee,967
c2 education,968
countrywide home loans,969
golds gym,970
hair studio if,971
haircutters,972
hashigo sushi,973
cherry on top,974
islands fine burgers,975
koba tofu grill,976
mathnasium,977
mochilato bakerycafe,978
olympic golf,979
professional nails,980
rubios,981
sato sushi,982
souplantation,983
target,984
the venue,985
togos,986
top class pizza,987
world tae kwon do academy,988
99 cent,989
american cutsperms,990
anaheim blackbelt center,991
anaheim optometry,992
anaheim urgent care,993
baskin robbonstogos,994
kmart,995
burrito grill,996
california green cleaners,997
cancun juice,998
don roberto,999
fallas paredes,1000
fashion avenue,1001
fashion joy,1002
first china kitchen,1003
franciscos halloween,1004
fullerton community bank,1005
georgies donuts,1006
goodwill,1007
hawaiian king bbq,1008
hometown buffet,1009
checkn go,1010
childrens dental,1011
ihop,1012
maria lourdes morato dmd,1013
nana nails,1014
us bank,1015
oreilly auto parts,1016
pep boys,1017
planet fitness,1018
precision laser skin care,1019
purrfect auto,1020
rent a center,1021
sally beauty supply,1022
shasa shoeaccessory,1023
staples,1024
sunsplash tanning,1025
supercuts,1026
susies deals,1027
wss,1028
yuva threading salon,1029
anderson express,1030
bryants barber shop,1031
carolina scrubs,1032
cellaris,1033
enochs karate,1034
firestone,1035
charlie nelsons,1036
chic 5,1037
ibouncee,1038
jewelry bench,1039
mexican deli,1040
new yorker,1041
philly cheese steak,1042
rochelle,1043
sunshine wireless,1044
trends,1045
1 stop beauty,1046
5th avenue deli,1047
aerie,1048
alaska communications,1049
alaska walking store,1050
alaska wild berry products,1051
apricot lane,1052
arby,1053
bareminerals,1054
beyond beads,1055
bottoms boutique,1056
burgers wingsthings,1057
circular,1058
follow the bunny,1059
fruitland,1060
gci,1061
hops hallmark,1062
chopsticks,1063
iditarod,1064
j n s,1065
liz nails,1066
mall office,1067
oilvinegar,1068
once in a blue moose,1069
peachwave frozen yogurt,1070
pretzel factory,1071
souper bowl,1072
sullivans steakhouse,1073
taco palace,1074
thai garden,1075
villa fresh italian,1076
zacks famous frozen yogurt,1077
ale bre`,1078
animas 10 cinema,1079
artscrafts fair,1080
bola tysbutterflys,1081
boot barn,1082
cell needs,1083
cjbanks,1084
claires boutique,1085
coach house giftshallmark,1086
corn dogs plus,1087
deb shop,1088
dollar tree store,1089
fashion shoes,1090
frs,1091
g tees,1092
christiani tees,1093
inizio,1094
jcpenney salon,1095
lenails,1096
mild to wild knivesswords,1097
mini mart,1098
nestle toll house,1099
home audiovideo,1100
nori japan,1101
off the chain,1102
perfume town,1103
qwest,1104
r sports,1105
rocky mountain chocolate,1106
samuels jewelry,1107
sherries studio,1108
sofa block oak superstore,1109
sole source,1110
southwest ink,1111
tilt arcade,1112
turbo graffix,1113
v burger,1114
