Jackson County,florida,40.5
Jefferson County,florida,44.1
Lafayette County,florida,36.2
Lake County,florida,45.6
Lee County,florida,45.6
Leon County,florida,29.6
Levy County,florida,45
Liberty County,florida,37
Madison County,florida,40.2
Manatee County,florida,45.7
Marion County,florida,47.3
Martin County,florida,49.7
Miami-Dade County,florida,38.2
Monroe County,florida,46.4
Nassau County,florida,42.9
Okaloosa County,florida,38.3
Okeechobee County,florida,38.6
Orange County,florida,33.7
Osceola County,florida,35.6
Palm Beach County,florida,43.5
Pasco County,florida,43.6
Pinellas County,florida,46.3
Polk County,florida,39.8
Putnam County,florida,43.4
Santa Rosa County,florida,39.2
Sarasota County,florida,52.5
Seminole County,florida,38.2
St. Johns County,florida,42.2
St. Lucie County,florida,42.4
Sumter County,florida,62.7
Suwannee County,florida,42.2
Taylor County,florida,41.1
Union County,florida,39.1
Volusia County,florida,45.3
Wakulla County,florida,38.8
Walton County,florida,42.1
Washington County,florida,40.3
Appling County,georgia,38.1
Atkinson County,georgia,33.4
Bacon County,georgia,36.9
Baker County,georgia,41.6
Baldwin County,georgia,34.1
Banks County,georgia,38.4
Barrow County,georgia,33.6
Bartow County,georgia,36.2
Ben Hill County,georgia,37.1
Berrien County,georgia,38
Bibb County,georgia,35.6
Bleckley County,georgia,35.9
Brantley County,georgia,37.8
Brooks County,georgia,40.3
Bryan County,georgia,35.7
Bulloch County,georgia,25.9
Burke County,georgia,35.9
Butts County,georgia,38.1
Calhoun County,georgia,38.7
Camden County,georgia,31.3
Candler County,georgia,37.6
Carroll County,georgia,33.5
Catoosa County,georgia,38.3
Charlton County,georgia,38.2
Chatham County,georgia,34
Chattahoochee County,georgia,24
Chattooga County,georgia,39.3
Cherokee County,georgia,36.3
Clarke County,georgia,25.9
Clay County,georgia,45.8
Clayton County,georgia,31.6
Clinch County,georgia,36.8
Cobb County,georgia,35.4
Coffee County,georgia,34.8
Colquitt County,georgia,34.8
Columbia County,georgia,36.8
Cook County,georgia,36.4
Coweta County,georgia,36.6
Crawford County,georgia,41.5
Crisp County,georgia,38.1
Dade County,georgia,39
Dawson County,georgia,40.6
DeKalb County,georgia,34.3
Decatur County,georgia,37.7
Dodge County,georgia,38.5
Dooly County,georgia,40
Dougherty County,georgia,33.2
Douglas County,georgia,35
Early County,georgia,39.3
Echols County,georgia,31.4
Effingham County,georgia,35.1
Elbert County,georgia,41.1
Emanuel County,georgia,36.8
Evans County,georgia,35.9
Fannin County,georgia,48.3
Fayette County,georgia,42.4
Floyd County,georgia,37.6
Forsyth County,georgia,36.9
Franklin County,georgia,40.9
Fulton County,georgia,34.2
Gilmer County,georgia,43.4
Glascock County,georgia,39.3
Glynn County,georgia,39.4
Gordon County,georgia,36
Grady County,georgia,37.8
Greene County,georgia,46.4
Gwinnett County,georgia,33.7
Habersham County,georgia,38.6
Hall County,georgia,34.5
Hancock County,georgia,43
Haralson County,georgia,38.5
Harris County,georgia,42
Hart County,georgia,42.6
Heard County,georgia,39.1
Henry County,georgia,35.3
Houston County,georgia,34.5
Irwin County,georgia,38.8
Jackson County,georgia,37.1
Jasper County,georgia,39
Jeff Davis County,georgia,36
Jefferson County,georgia,38.8
Jenkins County,georgia,38.2
Johnson County,georgia,40.4
Jones County,georgia,38.7
Lamar County,georgia,37.7
Lanier County,georgia,33.4
Laurens County,georgia,38
Lee County,georgia,36
Liberty County,georgia,27.9
Lincoln County,georgia,45
Long County,georgia,30.6
Lowndes County,georgia,29.9
Lumpkin County,georgia,36.1
Macon County,georgia,38.2
Madison County,georgia,39.4
Marion County,georgia,40.8
McDuffie County,georgia,38.4
McIntosh County,georgia,44.4
Meriwether County,georgia,41
Miller County,georgia,41.7
Mitchell County,georgia,37.1
Monroe County,georgia,41.3
Montgomery County,georgia,37
Morgan County,georgia,41.3
Murray County,georgia,36.2
Muscogee County,georgia,33.5
Newton County,georgia,34.7
Oconee County,georgia,39.1
Oglethorpe County,georgia,40.1
Paulding County,georgia,33.8
Peach County,georgia,33.3
Pickens County,georgia,42.1
Pierce County,georgia,38.4
Pike County,georgia,38.5
Polk County,georgia,36.2
Pulaski County,georgia,41.1
Putnam County,georgia,43.5
Quitman County,georgia,46.4
Rabun County,georgia,45.8
Randolph County,georgia,42.8
Richmond County,georgia,33.2
Rockdale County,georgia,36.9
Schley County,georgia,37.1
Screven County,georgia,39.5
Seminole County,georgia,43.7
Spalding County,georgia,37.2
Stephens County,georgia,40.7
Stewart County,georgia,37.3
Sumter County,georgia,33.8
Talbot County,georgia,45.6
Taliaferro County,georgia,45.9
Tattnall County,georgia,36.6
Taylor County,georgia,39.7
Telfair County,georgia,39.2
Terrell County,georgia,39.6
Thomas County,georgia,39.6
Tift County,georgia,34.5
Toombs County,georgia,36
Towns County,georgia,51.1
Treutlen County,georgia,36.8
Troup County,georgia,36.3
Turner County,georgia,38.7
Twiggs County,georgia,45
Union County,georgia,50.7
Upson County,georgia,40.3
Walker County,georgia,39.7
Walton County,georgia,37.4
Ware County,georgia,38.4
Warren County,georgia,42.9
Washington County,georgia,38.9
Wayne County,georgia,37.6
Webster County,georgia,40.6
Wheeler County,georgia,37.9
White County,georgia,42.3
Whitfield County,georgia,34
Wilcox County,georgia,39.7
Wilkes County,georgia,43.4
Wilkinson County,georgia,41.1
Worth County,georgia,39.7
Ada County,idaho,34.8
Adams County,idaho,50
Bannock County,idaho,31.4
Bear Lake County,idaho,40.5
Benewah County,idaho,44.8
Bingham County,idaho,31.8
Blaine County,idaho,40.4
Boise County,idaho,48.4
Bonner County,idaho,45.8
Bonneville County,idaho,31.7
Boundary County,idaho,42.8
Butte County,idaho,41.7
Camas County,idaho,44.3
Canyon County,idaho,31.6
Caribou County,idaho,37.7
Cassia County,idaho,32
Clark County,idaho,32.7
Clearwater County,idaho,49
Custer County,idaho,48
Elmore County,idaho,30
Franklin County,idaho,31.5
Fremont County,idaho,33.5
Gem County,idaho,42.9
Gooding County,idaho,34.3
Idaho County,idaho,48
Jefferson County,idaho,30
Jerome County,idaho,31.7
Kootenai County,idaho,38.9
Latah County,idaho,28.3
Lemhi County,idaho,49.7
Lewis County,idaho,48
Lincoln County,idaho,32
Madison County,idaho,22.6
Minidoka County,idaho,35.3
Nez Perce County,idaho,40.8
Oneida County,idaho,39.1
Owyhee County,idaho,36
Payette County,idaho,37.2
Power County,idaho,33.2
Shoshone County,idaho,46.2
Teton County,idaho,33.2
Twin Falls County,idaho,34.4
Valley County,idaho,46.9
Washington County,idaho,43.6
Adams County,illinois,40.7
Alexander County,illinois,41.1
Bond County,illinois,39.7
Boone County,illinois,36.8
Brown County,illinois,37.3
Bureau County,illinois,42.5
Calhoun County,illinois,44.6
Carroll County,illinois,46.5
Cass County,illinois,38.7
Champaign County,illinois,28.9
Christian County,illinois,41.6
Clark County,illinois,42.3
Clay County,illinois,42.2
Clinton County,illinois,39.3
Coles County,illinois,31.6
Cook County,illinois,35.3
Crawford County,illinois,41.7
Cumberland County,illinois,40.9
